fips,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17
1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5,0,0,0,0.167,0,0.429,0,0.2,0,0,0,0,0,0.417,0,0.118,0,0,0.211,0.087,0,0.04,-0.038,0.08,0.037,0.071,0.067,0.031,0.091,0.028,0,0.054,0.026,0.075,-0.023,0,0.071,0.067,0.104,0,0.094,0.052,0.098,0.015,0.088,0.135,0.083,0.022,0.118,-0.01,0.068,0
1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0.5,0.333,0,0.25,0,1,0.5,0.2,0.056,0.211,0.087,0.12,0.036,0.172,0.118,0.105,0.167,0.204,0,0.119,0.076,0.099,0.115,0.126,0.041,0.01,0.058,0.046,0.026,0.051,0.073,0.083,0.028,0.048,0.045,0.043,0.018,0.012,0.006,0.006,0.034,0.033,0.005,0.005,0.037,0.046,0.015,0.038,0.028,0.009,0.013,0.018,0.052,0.004,0.041,0
1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,0,0,1.333,0.286,0.111,0,0,0.1,0.182,0.077,0.071,0.2,0.111,0.1,0.273,0.036,0.034,0.067,0.031,0,0.061,0.057,0,0.054,0.077,0.024,0.047,0,0.044,0,0.085,0.039,0.094,0.017,0.034,0.098,0.03,0.072,0.068,0,0.025
1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.333,0,0,0.75,0,0.143,0.125,0.222,0,0.182,0.231,0.062,0,0.118,0.263,-0.042,0.13,0.077,0.143,0,0.062,-0.029,0.03,0.029,0.086,0.105,0,0,0,0,0,0.024,-0.023,0.024,0,0.023,0,0.023,0.022,0,0,0,0,0.065,0.02,0
1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.667,0,0,0,0,0,0.2,0.5,0.111,0,0,0,0,0.1,0.091,0,0.083,0.154,0.067,0.062,0.059,0.111,0,0.05,0.048,0.182,0.115,0.069,0,0,0.097,0,0,0.059,0.028,0.054,0.026,0,0,0,0.05,0.048,0,0,0,0.023,0,0,0,0,0,0.022
1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0,0,0,0,-0.333,0,0,0,0,0,0.5,0.333,0,0,0,0.5,0.333,0,0,0,0.125,0,0.222,0,0,0.091,0,0,0,0,0,0,0.083,0.077,0,0,0.143,0.125,0,0,0.167,0.048,0.045,0.13,0,0.077,0,0.143,0.094,0
1013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0.167,0.143,0,0.375,0,0.455,-0.188,0.077,0,0.071,0.133,0.118,0.105,0.333,0.143,0.062,0.324,0.133,0.039,0.226,0.415,0.141,0.086,0.053,0.083,0.192,0.045,0.099,0.062,0.037,0.143,0.027,0.083,0.036,0.05,0.004
1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0.5,0,0,2,0,0.222,0.091,0.667,0.05,0.143,0.583,0.263,0.083,0.038,0,0.056,0.053,0.017,0.016,0,0.016,0,0.048,0.091,0.111,0.038,0.024,0.035,0.011,0.011,0.011,-0.011,0.022,0.011,0,0,0.054,0.071,0,0.086,0,0.053,0.025,0.008,0,0.008,0.008,0.008,0.008,0.008,0.008,0
1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1.5,1,0.3,0.154,0.133,0.588,0.333,0,0.25,0.489,0.209,0.074,0.034,0.067,0.062,0.373,0.15,0.062,0.076,0.087,0.06,0.019,0.051,0.031,0.009,0.017,0.025,0.045,0.008,0.042,0.019,0.025,0.007,0.004,0.014,0.007,0.007,-0.007,-0.003,0.014,0.02,0.007,0.007,0.007,0.007,0.01,0.01,0.006,0.009,0.016,0,0.006,0,0.006,0
1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0.25,0.2,0,0,0,0.167,0,0,0,0.286,0,0,0.111,0.1,0.091,0,0,0,0.083,0,-0.077,0,0,0.167,0,0.071,0,0,0,0,0.067,0,0.062,0.059,0,0.167,0.048,0,0.091,0,0,0.042,0.04,0.038,0
