fips,Area.of.Land..Square.Meters.,county,state,Total.Children.Under.18.Years.Living.with.at.least.One.Parent,All.Children.Under.6.Years.Living.with.at.least.One.Parent,Total.Children.Under.18.Years.Living.with.at.least.One.Parent.Per.sqrKM,All.Children.Under.6.Years.Living.with.at.least.One.Parent.Per.sqrKM,Total.Population.Under.18.in.Households,Percent.of.Children.who.are.in.the.Care.of.Grandparents,Total.Population.Under.18.in.Households.Per.sqrKM,Population.with.a.Disability,Percent.of.Population.with.a.Disability,Population.with.a.Disability.Per.sqrKM,Population.with.No.Health.Insurance.Coverage,Percent.of.Population.with.No.Health.Insurance.Coverage,Population.with.No.Health.Insurance.Coverage.Per.sqrKM,Percent.of.Children.in.Nonfamily.Households,Total.Population.18.Years.and.Over.in.Households,Population.18.Years.and.Over.who.Lives.Alone,Total.Population.35.to.64.Years.in.Households,Population.35.to.64.Years.who.Lives.Alone,Total.Population.65.Years.and.Over.in.Households,Population.65.Years.and.Over.who.Lives.Alone,Percent.of.Population.18.Years.and.Over.in.Households.Living.Alone,Percent.of.Population.18.Years.and.Over.in.Households.Living.with.Other.Nonrelatives,Total.Population.18.Years.and.Over.in.Households.Per.sqrKM,Total.Population.35.to.64.Years.in.Households.Per.sqrKM,Total.Population.65.Years.and.Over.in.Households.Per.sqrKM,Total.Population.15.Years.and.Over,Total.Never.Married,Percent.Never.Married,Total.Never.Married.Per.sqrKM,Median.Household.Income.in.past.12.months..inflation.adjusted.dollars.to.last.year.of.5.year.range.,Median.Household.Income.in.past.12.months..Householder.under.25.years,Median.Household.Income.in.past.12.months..Householder.25.to.44.years,Median.Household.Income.in.past.12.months..Householder.45.to.64.years,Median.Household.Income.in.past.12.months..Householder.65.years.and.over,Total.Households,Percent.of.households.with.any.self.employment.income,Total.Households.Per.sqrKM,Total.Population,Ratio.of.Males.to.Females,Population.Less.Than.18.Years,Percent.of.Population.that.is.Less.Than.18.Years,Population.65.Years.and.Over,Percent.of.Population.that.is.65.Years.and.Over,Population.in.Dependent.Age.Groups..under.18.and.65..,Percent.of.Population.in.Dependent.Age.Groups..under.18.and.65..,Population.Less.Than.18.Years.Per.sqrKM,Population.65.Years.and.Over.Per.sqrKM,Population.in.Dependent.Age.Groups..under.18.and.65...Per.sqrKM,Population.whose.income.in.the.past.12.months.is.below.federal.poverty.level,Percent.of.Population.whose.income.in.the.past.12.months.is.below.poverty.level,Child.Population..under.18.years..whose.income.in.the.past.12.months.is.below.poverty.level,Percent.of.Children..under.18.years..whose.income.in.the.past.12.months.is.below.poverty.level,Population.whose.income.in.the.past.12.months.is.below.federal.poverty.level.Per.sqrKM,Child.Population..under.18.years..whose.income.in.the.past.12.months.is.below.poverty.level.Per.sqrKM,Percent.of.Population.that.is.Non.Hispanic.White,Percent.of.Population.that.is.Black.or.African.American,Percent.of.Population.that.is.American.Indian.and.Alaska.Native,Percent.of.Population.that.is.Asian,Percent.of.Population.that.is.Native.Hawaiian.and.Other.Pacific.Islander,Percent.of.Population.that.is.Some.Other.Race,Percent.of.Population.that.is.2.or.More.Races,Total.Workers.16.Years.and.Over,All.Workers.who.commuted.by.car..truck..or.van,Workers.who.drove.alone,Workers.who.carpooled,All.Workers.who.commuted.by.public.transportation..excluding.taxicab.,Percent.of.workers.who.commuted.by.driving.alone,Percent.of.workers.who.commuted.by.carpooling,Percent.of.workers.who.commuted.by.public.transportation,All.Workers.who.commuted.by.public.transportation..excluding.taxicab..Per.sqrKM,Total.Workers.16.Years.and.Over.Per.sqrKM,Total.Commuters..Workers.16.Years.and.Over.Who.Did.Not.Work.at.Home.,Percent.of.workers.whose.commute.was.30.minutes.or.more,Total.Commuters..Workers.16.Years.and.Over.Who.Did.Not.Work.at.Home..Per.sqrKM,Households.with.no.vehicle.available,All.1.Person.Households,X1.Person.Households.that.have.no.vehicle.available,All.2.Person.Households,X2.Person.Households.that.have.no.vehicle.available,All.3.Person.Households,X3.Person.Households.that.have.no.vehicle.available,All.4.Or.More.Person.Households,X4.Or.More.Person.Households.that.have.no.vehicle.available,Households.with.no.vehicle.available.Per.sqrKM,X1.Person.Households.that.have.no.vehicle.available.Per.sqrKM,All.1.Person.Households.Per.sqrKM,All.2.Person.Households.Per.sqrKM,X2.Person.Households.that.have.no.vehicle.available.Per.sqrKM,All.3.Person.Households.Per.sqrKM,X3.Person.Households.that.have.no.vehicle.available.Per.sqrKM,All.4.Or.More.Person.Households.Per.sqrKM,X4.Or.More.Person.Households.that.have.no.vehicle.available.Per.sqrKM,POPDENSITY2019,POPESTIMATE2019,AQI-2010,AQI-2011,AQI-2012,AQI-2013,AQI-2014,AQI-2015,AQI-2016,AQI.mean2010to2016
1001,1539602123,Autauga County,Alabama,12738,3777,8.27356614394588,2.45323122355814,13369,4.6,8.68341229222896,10465,19.3,6.79721068428275,3875,7.1,2.51688403264172,0.4,41285,5303,21798,2220,7912,2226,12.8,2.8,26.81536962261,14.1582033918772,5.13899005580937,44358,11192,25.2,7.26941060472934,58786,NA,61203,79748,40822,21115,8.2,13.7145822836723,55200,0.95,13369,24.2,8050,14.6,21419,38.8,8.68341229222896,5.22862360329442,13.9120358955234,8422,15.4,3024,22.7,5.47024447042803,1.9641438231506,75,19,0.3,1,0,0.1,1.8,24428,23244,21136,2108,26,86.5,8.6,0.1,0.0168874799609509,15.8664369417734,23753,39.1,15.4280119812487,1191,5303,967,7352,73,3386,62,5074,89,0.77357648590356,0.628084350855367,3.44439639357395,4.77525971818889,0.0474148475826699,2.19926950568384,0.0402701445222676,3.29565666622558,0.0578071429432551,3.57e-05,55869,11.3543075761806,10.4111062040972,9.62666012156555,8.63678423622253,8.97816158614132,8.63211752237154,8.54802883997344,9.45530944093603
1005,2292144655,Barbour County,Alabama,4973,1557,2.16958383893969,0.679276500548784,5436,9.1,2.37157807128015,5078,22.2,2.21539246614433,2558,11.2,1.11598541323301,0.1,17446,2990,8250,1246,4442,1333,17.1,2.4,7.61121247821072,3.59924928036446,1.93792306707624,21265,7337,34.5,3.20093236000413,34186,17788,35140,40255,30819,9186,7.2,4.00760047144581,25782,1.13,5436,21.1,4634,18,10070,39.1,2.37157807128015,2.02168741396472,4.39326548524487,6597,28.9,2575,47.6,2.87809060637144,1.12340204811376,46.1,47.3,0.2,0.3,0,0.3,1.3,8538,8045,7118,927,22,83.4,10.9,0.3,0.0095979980809719,3.72489580069719,8427,30.4,3.67646953765228,849,2990,594,2963,136,1311,36,1922,83,0.370395471397507,0.259145948186241,1.30445519373209,1.2926758324509,0.0593330790460081,0.571953431097916,0.0157058150415904,0.838516014164909,0.0362106291236667,1.05e-05,24686,10.3338396204694,9.43468386612271,8.9230528097396,8.23655976109499,9.00984118190124,8.07912866292643,8.08588427916529,8.87185574020281
1009,1670103911,Blount County,Alabama,12672,3821,7.58755183826403,2.287881595171,13468,6.2,8.06416888871054,8114,14.2,4.85838033583289,6303,11,3.7740166695532,0.5,43634,5090,22395,2386,9975,2276,11.7,2.4,26.1265180643003,13.4093452823487,5.97268225905017,46533,9543,20.5,5.71401571910935,48695,31058,59345,52951,34070,20600,6.8,12.3345618582891,57645,0.97,13468,23.4,10233,17.8,23701,41.1,8.06416888871054,6.12716366484816,14.1913325535587,8220,14.4,2875,21.6,4.92184944054059,1.7214497739117,87.1,1.4,0.2,0.3,0,0.3,1.4,21148,20426,18225,2201,31,86.2,10.4,0.1,0.0185617193013088,12.6626851543251,20671,60.5,12.3770741831405,856,5090,610,7415,144,3234,20,4861,82,0.512542958771623,0.365246734638657,3.04771455624715,4.43984350384531,0.0862221799802731,1.93640645872363,0.0119753027750379,2.91059733947297,0.0490987413776555,3.43e-05,57826,11.1385012398348,10.7783204969981,9.49257231560814,8.87663860349446,9.24336163331938,8.06004017203137,8.21567407841845,9.40072979138639
1013,2012002530,Butler County,Alabama,4215,1387,2.09492778321705,0.689362950254342,4566,10.8,2.26938084416822,3492,17.7,1.7355842986937,2005,10.2,0.996519621672643,0.7,15137,2046,7539,1042,3661,825,13.5,5.7,7.5233503806777,3.74701318094267,1.81958021692945,16253,5834,35.9,2.89959873957017,39109,29861,41543,42328,34795,6708,6.2,3.33399183151127,20025,0.88,4566,22.8,3806,19,8372,41.8,2.26938084416822,1.89164772074119,4.16102856490941,4640,23.5,1585,35,2.30616012197559,0.787772369252438,51.9,45.1,0,1.2,0,0,1.6,7769,7483,6513,970,0,83.8,12.5,0,0,3.86132715250612,7647,33.5,3.80069104585072,520,2046,367,2484,75,1058,17,1120,61,0.25844897918692,0.182405337233845,1.016897329647,1.23459089288521,0.0372762950750365,0.525844269191848,0.00844929355034161,0.556659339787212,0.0303180533276964,9.65e-06,19448,10.2216420594051,9.46373014953051,9.15584353406706,8.14038058897473,8.57726315286556,8.13023936531685,7.80493891333894,8.78486253764268
1017,1545085607,Chambers County,Alabama,6273,2055,4.05996921567337,1.33002339203073,7006,12.4,4.53437658616413,5570,16.7,3.60497824506626,3613,10.8,2.33838175932215,0.8,26308,4274,13315,2076,6190,1735,16.2,3.1,17.0268882713112,8.6176454816979,4.00625050932857,28049,8487,30.3,5.4928995270875,39872,33818,48750,44894,30335,13516,5.3,8.74773536091842,33826,0.93,7006,20.7,6409,18.9,13415,39.7,4.53437658616413,4.1479902284793,8.68236681464343,5531,16.6,1620,23.7,3.5797369252175,1.04848559371766,55.8,39.4,0.3,1.2,0,0.1,1,14396,13917,12273,1644,27,85.3,11.4,0.2,0.0174747598952943,9.31728309083912,14138,32.4,9.15030205183964,989,4274,554,4901,271,2147,118,2194,46,0.640093982831334,0.35855618451826,2.76618977009214,3.17199252766064,0.175394812282398,1.38956701834062,0.0763711728757305,1.41998604482502,0.0297718131549458,2.13e-05,33254,10.7524352472441,9.89379677392113,9.38879475424877,8.56645121062181,9.15022184281506,8.0818133221507,8.16205633712657,9.14222421258973
1021,1794477075,Chilton County,Alabama,9979,3089,5.56095151006596,1.72139284643689,10646,5.4,5.93264753744486,7704,17.7,4.2931727060375,6176,14.2,3.44167116205706,1.1,32881,4173,16933,1628,6778,2149,12.7,3.4,18.323443892422,9.43617515983034,3.77714493789228,35191,8862,25.2,4.93848604892319,45182,30054,45551,54666,31843,16751,6.9,9.33475285550806,43930,0.97,10647,24.2,6927,15.8,17574,40,5.93320480285322,3.86017748373854,9.79338228659176,8034,18.6,2309,22.4,4.47707029079767,1.28672582791285,80.1,9.4,0.1,0.4,0,0.2,2,17207,16529,14379,2150,0,83.6,12.5,0,0,9.58886588172212,16778,52.3,9.34979902153389,823,4173,525,5955,213,3157,80,3466,5,0.458629431083704,0.292564339391184,2.32546854910364,3.31851550680858,0.118697531981566,1.75928689420566,0.0445812326691329,1.93148190539018,0.0027863270418208,2.45e-05,44428,11.4877863394208,10.5174853144381,9.5828405790281,8.66812455064134,9.0281377198633,8.56903527388086,8.50036378882124,9.47911050944196
1025,3207494111,Clarke County,Alabama,4918,1448,1.53328418690899,0.451442761822736,5389,9.6,1.68012779244663,4109,17.1,1.28106236763095,2594,10.8,0.808731024978022,0.8,18634,3190,9542,1750,4470,1157,17.1,1.5,5.80951962969949,2.97490803405562,1.3936112882235,20057,6587,32.8,2.05362808848505,36127,31042,46097,36224,29690,9358,5,2.91754237923837,24387,0.9,5389,22.1,4626,19,10015,41.1,1.68012779244663,1.44224738687291,3.12237517931954,6088,25.4,1601,30.3,1.89805492677957,0.499143550882735,52.9,45.8,0.1,0.5,0,0,0.5,7529,7342,6647,695,11,88.3,9.2,0.1,0.00342946849450973,2.34731529956034,7455,36.4,2.32424432968819,957,3190,680,3355,151,1282,41,1531,85,0.298363759022347,0.212003506933329,0.994545863407822,1.04598789082547,0.0470772493337245,0.399688964541952,0.0127825643886272,0.477319660463127,0.0265004383666661,7.28e-06,23622,10.1786216207205,9.74824203146335,9.24504801164467,8.47552199918825,8.66037535774177,7.94994784080067,7.82540281173234,8.86902281047022
1029,1450663940,Cleburne County,Alabama,3003,913,2.0700866115139,0.629366991778951,3438,5,2.36994930748744,3331,22.6,2.29618997767326,1886,12.8,1.30009435541632,1.5,11331,1679,5913,745,2718,829,14.8,2.6,7.81090622546253,4.07606464664724,1.8736248451864,12100,2520,20.8,1.73713561805362,40188,25750,52557,48056,27158,5726,9.3,3.94715815435517,14938,0.95,3438,23,2803,18.8,6241,41.8,2.36994930748744,1.93221870531917,4.3021680128066,2719,18.5,1017,30.7,1.87431418471738,0.701058303000211,92.6,2.6,0.3,0,0,0.1,1.9,5355,5128,4357,771,1,81.4,14.4,0,0.000689339530973659,3.69141318836394,5177,52.9,3.56871075185063,231,1679,200,1946,9,898,10,1203,12,0.159237431654915,0.137867906194732,1.15740107250477,1.34145472727474,0.00620405577876293,0.619026898814346,0.00689339530973659,0.829275455761312,0.00827207437168391,1.03e-05,14910,10.7945544115293,10.4264260353938,9.35896464775246,8.51087739603932,8.78613401662884,7.54918413286897,7.95666966419939,9.05468718634458
1033,1535202321,Colbert County,Alabama,10743,3514,6.99777472522464,2.288949118909,11603,5.3,7.55796147601056,10086,18.7,6.5698181028219,4353,8.1,2.83545689089666,0.4,42456,6364,21517,2940,10266,2713,15,2.6,27.654986850427,14.0157422286753,6.68706649252128,44936,11128,24.8,7.24855600319275,47558,31369,54167,54975,35080,21799,7.4,14.1994313725376,54495,0.92,11608,21.3,10502,19.3,22110,40.6,7.56121837572443,6.84079215901602,14.4020105347405,8785,16.3,2720,23.6,5.7223727972725,1.77175344434618,78.7,15.7,0.7,0.4,0.1,0,1.9,22074,21327,19914,1413,22,90.2,6.4,0.1,0.0143303587410353,14.3785608568006,21613,28.1,14.0782747031816,1322,6364,904,8288,266,3430,92,3717,60,0.861124284347666,0.588847468267995,4.14538195581584,5.39863696571365,0.173267064777972,2.23423320371595,0.0599269547352384,2.42117924729219,0.0390827965664599,3.43e-05,55241,10.7151031705595,10.2215763710994,9.63723196827362,8.930146757813,9.1970318894947,8.06068874648551,7.99072838575446,9.25035818421146
1037,1685850815,Coosa County,Alabama,1670,430,0.990597735660258,0.255064087625096,1850,9.7,1.09736874908472,2364,22.6,1.40225930964123,812,7.8,0.48165590500367,0,8615,1357,4551,647,2329,662,15.8,3.4,5.11017933695396,2.6995271227484,1.38149827925314,9359,2780,29.7,1.64901898511109,38301,NA,45667,38750,32236,4103,5.1,2.43378593378086,10855,1.03,1850,17,2368,21.8,4218,38.9,1.09736874908472,1.40463199882844,2.50200074791315,1459,14,448,24.4,0.86543838103492,0.265741188967542,65.3,34.2,0.1,0,0,0,0,3995,3716,3355,361,18,84,9,0.5,0.0106771013424459,2.36972332572619,3818,41.2,2.26473182919213,182,1357,143,1493,15,641,24,612,0,0.107957358018064,0.0848236384427646,0.80493480676106,0.885606239126206,0.00889758445203824,0.380223442250434,0.0142361351232612,0.36302144564316,0,6.18e-06,10663,11.3164590550982,10.4931562968092,9.57865253623358,8.7011760070437,9.06039237693733,8.42852972292151,8.33099263335351,9.41562266119958
