OBJECTID_1,STATE_NAME,FIPS,localeventdate,county_name,grade,n_grade,daily_distance_diff,county_population,Shape__Area,Shape__Length
3001,North Carolina,37163,2020-03-23T00:00:00.000Z,Sampson ,D,2,-0.183479571,63626,0.240701051,2.213863313
3002,North Carolina,37165,2020-03-23T00:00:00.000Z,Scotland ,D,2,-0.198118956,34810,0.079714088,1.188076214
3003,North Carolina,37167,2020-03-23T00:00:00.000Z,Stanly ,C,3,-0.285457898,62075,0.10343906,1.46105985
3004,North Carolina,37169,2020-03-23T00:00:00.000Z,Stokes ,D,2,-0.19277373,45467,0.123858117,1.42807532
3005,North Carolina,37177,2020-03-23T00:00:00.000Z,Tyrrell ,B,4,-0.355649877,4131,0.09855862,1.410547877
3006,North Carolina,37179,2020-03-23T00:00:00.000Z,Union ,B,4,-0.328019628,235908,0.162751279,1.716495845
3007,North Carolina,37181,2020-03-23T00:00:00.000Z,Vance ,C,3,-0.218950376,44582,0.072108388,1.085177008
3008,North Carolina,37183,2020-03-23T00:00:00.000Z,Wake ,A,5,-0.404317236,1092305,0.218812037,2.130436384
3009,North Carolina,37185,2020-03-23T00:00:00.000Z,Warren ,C,3,-0.261727472,19807,0.118467141,1.421024413
3010,North Carolina,37187,2020-03-23T00:00:00.000Z,Washington ,D,2,-0.166817009,11859,0.100310494,1.331129387
3011,North Carolina,37191,2020-03-23T00:00:00.000Z,Wayne ,C,3,-0.218635782,123248,0.142416941,1.655028117
3012,North Carolina,37195,2020-03-23T00:00:00.000Z,Wilson ,C,3,-0.211162146,81455,0.0940277,1.30707379
3013,South Carolina,45015,2020-03-23T00:00:00.000Z,Berkeley ,C,3,-0.253047415,221091,0.303880726,2.562999047
3014,South Carolina,45019,2020-03-23T00:00:00.000Z,Charleston ,B,4,-0.37184198,405905,0.244223288,3.686805745
3015,South Carolina,45025,2020-03-23T00:00:00.000Z,Chesterfield ,C,3,-0.203095127,45754,0.204986541,2.065752893
3016,South Carolina,45027,2020-03-23T00:00:00.000Z,Clarendon ,D,2,-0.121233758,33700,0.173951324,1.964768165
3017,South Carolina,45031,2020-03-23T00:00:00.000Z,Darlington ,C,3,-0.244987561,66802,0.142667973,1.92289691
3018,South Carolina,45033,2020-03-23T00:00:00.000Z,Dillon ,F,1,-0.009563642,30599,0.104500519,1.554705247
3019,South Carolina,45035,2020-03-23T00:00:00.000Z,Dorchester ,C,3,-0.229823804,160647,0.144661672,2.13570075
3020,South Carolina,45041,2020-03-23T00:00:00.000Z,Florence ,D,2,-0.195375438,138159,0.204028922,2.271208996
3021,South Carolina,45043,2020-03-23T00:00:00.000Z,Georgetown ,B,4,-0.328340746,62249,0.20906154,2.267748793
3022,South Carolina,45051,2020-03-23T00:00:00.000Z,Horry ,C,3,-0.298889202,344147,0.288888838,2.323297846
3023,South Carolina,45055,2020-03-23T00:00:00.000Z,Kershaw ,C,3,-0.242589018,65592,0.186745003,2.14783402
3024,South Carolina,45061,2020-03-23T00:00:00.000Z,Lee ,C,3,-0.211667795,17142,0.10242783,1.637801126
3025,South Carolina,45067,2020-03-23T00:00:00.000Z,Marion ,C,3,-0.252757068,31039,0.123923375,1.983577165
3026,South Carolina,45069,2020-03-23T00:00:00.000Z,Marlboro ,B,4,-0.300721145,26398,0.12718036,1.749398437
3027,South Carolina,45085,2020-03-23T00:00:00.000Z,Sumter ,C,3,-0.223273714,106512,0.170521029,2.388428383
3028,South Carolina,45089,2020-03-23T00:00:00.000Z,Williamsburg ,C,3,-0.242807087,30606,0.234504946,2.25495634
3029,Virginia,51001,2020-03-23T00:00:00.000Z,Accomack ,B,4,-0.335200321,32412,0.110065398,2.598113117
3030,Virginia,51003,2020-03-23T00:00:00.000Z,Albemarle ,B,4,-0.348757154,108718,0.191292673,2.08495741
3031,Virginia,51005,2020-03-23T00:00:00.000Z,Alleghany ,D,2,-0.128455664,14910,0.119134052,1.98795761
3032,Virginia,51007,2020-03-23T00:00:00.000Z,Amelia ,C,3,-0.252414731,13013,0.09684913,1.629306575
3033,Virginia,51009,2020-03-23T00:00:00.000Z,Amherst ,C,3,-0.261673905,31666,0.125302226,1.585940262
3034,Virginia,51011,2020-03-23T00:00:00.000Z,Appomattox ,B,4,-0.32654926,15841,0.089039227,1.258199553
3035,Virginia,51015,2020-03-23T00:00:00.000Z,Augusta ,F,1,-0.080318772,75457,0.26050489,2.593117622
3036,Virginia,51017,2020-03-23T00:00:00.000Z,Bath ,D,2,-0.161607888,4292,0.139961179,1.652446859
3037,Virginia,51019,2020-03-23T00:00:00.000Z,Bedford ,B,4,-0.316556003,78747,0.204241751,2.242067629
3038,Virginia,51023,2020-03-23T00:00:00.000Z,Botetourt ,F,1,-0.074417855,33277,0.14406202,1.87524162
3039,Virginia,51025,2020-03-23T00:00:00.000Z,Brunswick ,C,3,-0.244706765,16384,0.149263346,1.560217935
3040,Virginia,51029,2020-03-23T00:00:00.000Z,Buckingham ,D,2,-0.158512121,16999,0.155109177,1.728863516
3041,Virginia,51031,2020-03-23T00:00:00.000Z,Campbell ,B,4,-0.304883161,54973,0.131256973,1.866256948
3042,Virginia,51033,2020-03-23T00:00:00.000Z,Caroline ,D,2,-0.119817098,30772,0.142574595,1.973266938
