SUMLEV,REGION,DIVISION,STATE,COUNTY,fips,state,county,CENSUS2010POP,ESTIMATESBASE2010,POPDENSITY2010,POPDENSITY2011,POPDENSITY2012,POPDENSITY2013,POPDENSITY2014,POPDENSITY2015,POPDENSITY2016,POPDENSITY2017,POPDENSITY2018,POPDENSITY2019,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,GQESTIMATES2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
50,3,6,1,1,1001,Alabama,Autauga County,54571,54597,3.50E-05,3.53E-05,3.51E-05,3.50E-05,3.51E-05,3.50E-05,3.53E-05,3.54E-05,3.55E-05,3.57E-05,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869,176,454,-273,-227,166,-29,379,147,143,336,150,638,615,571,640,651,666,676,631,624,157,514,560,582,573,584,547,573,518,541,-7,124,55,-11,67,67,119,103,113,83,25,4,-14,12,7,13,-3,-12,-7,-16,147,327,-329,-226,101,-107,266,59,37,270,172,331,-343,-214,108,-94,263,47,30,254,11,-1,15,-2,-9,-2,-3,-3,0,-1,455,455,455,455,455,455,455,455,455,455,455,11.6,11.16344923,10.41201302,11.67670133,11.86256913,12.09732351,12.22058518,11.3772617,11.20267141,9.345454546,10.16509199,10.61259471,10.45429666,10.64169028,9.935789732,10.35857294,9.339812302,9.712572485,2.254545455,0.998357249,-0.200581687,1.222404671,1.220878851,2.161533781,1.862012239,2.037449402,1.490098921,0.072727273,-0.2541273,0.218816386,0.127713921,0.236886941,-0.054492448,-0.216933465,-0.12621368,-0.287247985,5.945454546,-5.971991541,-4.121041931,1.842729429,-1.949761746,4.831663745,1.066589535,0.66712945,4.847309743,6.018181818,-6.226118841,-3.902225545,1.97044335,-1.712874805,4.777171297,0.84965607,0.54091577,4.560061758
50,3,6,1,5,1005,Alabama,Barbour County,27457,27455,1.17E-05,1.17E-05,1.16E-05,1.15E-05,1.14E-05,1.12E-05,1.10E-05,1.07E-05,1.06E-05,1.05E-05,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686,-128,14,-172,-232,-182,-472,-477,-649,-285,-186,71,331,300,282,264,271,276,280,263,256,131,323,286,295,308,332,280,295,329,312,-60,8,14,-13,-44,-61,-4,-15,-66,-56,-1,-5,-12,-10,4,13,17,12,12,13,-69,13,-176,-210,-142,-430,-492,-649,-231,-141,-70,8,-188,-220,-138,-417,-475,-637,-219,-128,2,-2,2,1,0,6,2,3,0,-2,3193,3193,3380,3390,3388,3352,3193,2975,2817,2813,2812,12.10946075,11.00715465,10.42398255,9.833867243,10.2190882,10.59724702,10.98836411,10.51390194,10.33132895,11.81678496,10.49348743,10.90452076,11.47284512,12.51932577,10.75083031,11.57702647,13.15237162,12.59130716,0.292675788,0.513667217,-0.480538203,-1.638977874,-2.300237566,-0.15358329,-0.588662363,-2.638469688,-2.259978207,-0.182922368,-0.440286186,-0.369644771,0.148997989,0.490214563,0.652728983,0.47092989,0.479721761,0.524637798,0.475598156,-6.457530728,-7.762540199,-5.289428593,-16.2147894,-18.89074469,-25.46945823,-9.234643907,-5.690302272,0.292675788,-6.897816914,-8.13218497,-5.140430604,-15.72457483,-18.2380157,-24.99852834,-8.754922145,-5.165664474
50,3,6,1,9,1009,Alabama,Blount County,57322,57322,3.40E-05,3.42E-05,3.42E-05,3.42E-05,3.41E-05,3.41E-05,3.41E-05,3.43E-05,3.43E-05,3.43E-05,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826,54,184,20,39,-93,0,-32,293,-16,55,184,744,712,647,619,716,700,660,679,651,131,569,587,583,587,633,650,721,688,657,53,175,125,64,32,83,50,-61,-9,-6,-2,-16,5,45,40,13,22,-1,5,6,9,28,-100,-65,-158,-90,-102,358,-9,59,7,12,-95,-20,-118,-77,-80,357,-4,65,-6,-3,-10,-5,-7,-6,-2,-3,-3,-4,489,489,489,489,489,489,489,489,489,489,489,12.94633535,12.36755255,11.2327364,10.75166095,12.44654591,12.17179621,11.45028235,11.75167448,11.26326808,9.901162386,10.19628279,10.12161564,10.19584003,11.00372006,11.30238219,12.50856603,11.90744042,11.367077,3.045172966,2.171269759,1.111120756,0.555820921,1.442825853,0.869414015,-1.058283672,-0.155765936,-0.103808922,-0.278415814,0.08685079,0.781256782,0.694776152,0.225984772,0.382542167,-0.017348913,0.086536631,0.103808922,0.487227675,-1.737015807,-1.128482018,-2.7443658,-1.564509961,-1.773604591,6.210910731,-0.155765936,1.020787737,0.208811861,-1.650165017,-0.347225236,-2.049589648,-1.338525189,-1.391062424,6.193561819,-0.069229305,1.124596659
50,3,6,1,13,1013,Alabama,Butler County,20947,20940,1.04E-05,1.04E-05,1.03E-05,1.01E-05,1.01E-05,1.00E-05,9.93E-06,9.87E-06,9.74E-06,9.65E-06,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448,-8,-66,-196,-314,-29,-165,-150,-124,-257,-183,65,274,240,241,251,239,230,244,216,213,66,264,274,262,287,276,253,269,274,272,-1,10,-34,-21,-36,-37,-23,-25,-58,-59,0,1,6,7,20,27,28,22,17,18,-4,-77,-170,-304,-11,-153,-154,-121,-216,-141,-4,-76,-164,-297,9,-126,-126,-99,-199,-123,-3,0,2,4,-2,-2,-1,0,0,-1,333,333,333,333,333,333,333,333,333,333,333,13.11067515,11.55624037,11.7486472,12.33930634,11.80567562,11.45019167,12.23057644,10.9314507,10.90099542,12.63218336,13.19337442,12.77238824,14.10908733,13.63333251,12.59521083,13.48370927,13.86674764,13.92051997,0.478491794,-1.637134052,-1.023741042,-1.76978099,-1.827656894,-1.145019167,-1.253132832,-2.935296946,-3.019524553,0.047849179,0.288906009,0.341247014,0.983211661,1.333695572,1.393936377,1.102756892,0.860345657,0.921210881,-3.684386813,-8.185670262,-14.81987033,-0.540766413,-7.557608239,-7.666650072,-6.065162907,-10.93145069,-7.216151897,-3.636537633,-7.896764253,-14.47862331,0.442445247,-6.223912668,-6.272713695,-4.962406015,-10.07110504,-6.294941017
50,3,6,1,17,1017,Alabama,Chambers County,34215,34169,2.18E-05,2.18E-05,2.18E-05,2.19E-05,2.18E-05,2.18E-05,2.16E-05,2.16E-05,2.15E-05,2.13E-05,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254,-47,-89,71,35,-162,19,-251,-38,-107,-346,83,401,394,405,425,421,391,378,359,354,80,442,476,454,454,445,444,485,414,441,3,-41,-82,-49,-29,-24,-53,-107,-55,-87,6,27,31,29,29,14,13,7,6,6,-54,-74,122,57,-158,31,-209,65,-57,-265,-48,-47,153,86,-129,45,-196,72,-51,-259,-2,-1,0,-2,-4,-2,-2,-3,-1,0,458,458,458,458,458,458,458,458,458,458,458,11.76729514,11.56493535,11.86934924,12.47871278,12.38727142,11.54396894,11.20797011,10.6675383,10.59024142,12.97043504,13.97185083,13.30539396,13.33020142,13.09343416,13.10875245,14.38059657,12.30184082,13.19292787,-1.203139902,-2.406915479,-1.436044723,-0.851488637,-0.706162741,-1.564783514,-3.17262646,-1.634302524,-2.602686451,0.792311643,0.909931462,0.84990402,0.851488637,0.411928266,0.383814824,0.207555002,0.178287548,0.179495617,-2.171520798,3.581020591,1.670501004,-4.639144988,0.912126874,-6.170561403,1.927296448,-1.693731707,-7.927723098,-1.379209156,4.490952053,2.520405023,-3.787656351,1.32405514,-5.786746579,2.13485145,-1.515444159,-7.748227481
50,3,6,1,21,1021,Alabama,Chilton County,43643,43632,2.41E-05,2.41E-05,2.40E-05,2.40E-05,2.41E-05,2.41E-05,2.42E-05,2.43E-05,2.43E-05,2.45E-05,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428,21,36,-107,46,132,-60,166,254,43,265,124,564,564,535,598,534,529,560,532,551,144,474,495,499,485,502,475,490,517,503,-20,90,69,36,113,32,54,70,15,48,-2,28,-3,11,17,29,68,18,35,35,47,-82,-170,3,13,-119,46,168,-5,184,45,-54,-173,14,30,-90,114,186,30,219,-4,0,-3,-4,-11,-2,-2,-2,-2,-2,393,393,393,393,393,393,393,393,393,393,393,12.91474892,12.92525581,12.26923518,13.68608962,12.21129659,12.08231505,12.72929784,12.05215047,12.43918683,10.85388473,11.34397452,11.44364178,11.09992219,11.4795335,10.84895964,11.13813561,11.7123342,11.35555531,2.060864189,1.581281296,0.825593395,2.586167437,0.731763092,1.233355412,1.59116223,0.339816273,1.08363152,0.641157748,-0.068751361,0.252264649,0.389069438,0.663160302,1.553114222,0.409156002,0.792904636,0.790147983,-1.877676261,-3.89591044,0.06879945,0.297523688,-2.721243997,1.050636092,3.818789353,-0.113272091,4.153920827,-1.236518513,-3.964661801,0.321064098,0.686593125,-2.058083695,2.603750314,4.227945355,0.679632545,4.944068811
50,3,6,1,25,1025,Alabama,Clarke County,25833,25833,7.94E-06,7.89E-06,7.75E-06,7.74E-06,7.66E-06,7.61E-06,7.50E-06,7.42E-06,7.37E-06,7.28E-06,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622,-67,-179,-432,-32,-259,-166,-358,-277,-145,-296,49,260,291,271,267,311,278,255,285,266,45,299,288,293,296,296,285,308,291,324,4,-39,3,-22,-29,15,-7,-53,-6,-58,1,2,3,4,-3,-4,-5,-5,-5,-5,-78,-141,-450,-10,-229,-177,-348,-221,-133,-232,-77,-139,-447,-6,-232,-181,-353,-226,-138,-237,6,-1,12,-4,2,0,2,2,-1,-1,280,280,280,280,280,280,280,280,280,280,280,10.12599069,11.46978834,10.78006285,10.68277752,12.54993745,11.33814593,10.53653699,11.87970238,11.19057636,11.6448893,11.3515431,11.6551971,11.8430792,11.944635,11.62363881,12.7264839,12.12980138,13.63062684,-1.518898604,0.118245241,-0.875134254,-1.160301678,0.60530245,-0.285492883,-2.189946904,-0.250098998,-2.440050484,0.077892236,0.118245241,0.159115319,-0.120031208,-0.161413987,-0.203923488,-0.206598765,-0.208415831,-0.21034918,-5.491402644,-17.73678609,-0.397788297,-9.162382219,-7.142568904,-14.19307476,-9.131665393,-5.543861112,-9.760201935,-5.413510408,-17.61854085,-0.238672978,-9.282413427,-7.30398289,-14.39699825,-9.338264157,-5.752276943,-9.970551115
50,3,6,1,29,1029,Alabama,Cleburne County,14972,14972,1.03E-05,1.03E-05,1.02E-05,1.03E-05,1.03E-05,1.03E-05,1.02E-05,1.03E-05,1.03E-05,1.03E-05,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910,32,-76,-39,87,50,-112,-66,51,111,-100,42,184,183,177,199,149,159,170,192,187,22,175,159,187,190,209,205,176,191,189,20,9,24,-10,9,-60,-46,-6,1,-2,0,0,-1,-4,-7,-12,-9,-11,-11,-11,13,-85,-64,102,50,-37,-12,69,122,-86,13,-85,-65,98,43,-49,-21,58,111,-97,-1,0,2,-1,-2,-3,1,-1,-1,-1,178,178,178,178,178,178,178,178,178,178,178,12.29453428,12.27487675,11.85334003,13.26578228,9.953239813,10.68476581,11.42972401,12.8389448,12.5,11.69317119,10.66505685,12.52302026,12.66582228,13.96125585,13.77595592,11.83312603,12.7720753,12.63368984,0.60136309,1.609819901,-0.669680228,0.599960003,-4.008016032,-3.091190108,-0.403402024,0.066869504,-0.13368984,0,-0.067075829,-0.267872091,-0.466635558,-0.801603206,-0.604798065,-0.739570377,-0.735564546,-0.735294118,-5.679540291,-4.29285307,6.830738323,3.333111126,-2.471609886,-0.80639742,4.639123273,8.158079508,-5.748663102,-5.679540291,-4.3599289,6.562866231,2.866475568,-3.273213093,-1.411195484,3.899552896,7.422514962,-6.483957219
50,3,6,1,33,1033,Alabama,Colbert County,54428,54428,3.38E-05,3.38E-05,3.39E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.39E-05,3.41E-05,3.43E-05,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241,96,15,31,-41,-67,-45,80,198,309,237,162,605,622,590,596,604,636,630,628,630,130,672,671,724,717,743,708,738,721,719,32,-67,-49,-134,-121,-139,-72,-108,-93,-89,7,29,12,5,3,59,101,69,75,73,59,56,78,95,64,43,54,239,327,256,66,85,90,100,67,102,155,308,402,329,-2,-3,-10,-7,-13,-8,-3,-2,0,-3,474,474,474,474,474,474,474,474,474,474,474,11.09450501,11.40144259,10.81586449,10.93668285,11.09488515,11.67893935,11.53930691,11.44951185,11.42908976,12.32315267,12.29962698,13.27234897,13.15704967,13.64817825,13.00108342,13.51747381,13.14506058,13.04367545,-1.228647662,-0.898184384,-2.456484477,-2.220366819,-2.553293105,-1.322144077,-1.978166899,-1.695548729,-1.614585695,0.53180272,0.219963523,0.091659869,0.055050417,1.083771894,1.85467433,1.263828852,1.367378007,1.324323099,1.026929389,1.429762898,1.741537503,1.174408896,0.789867651,0.991608058,4.377610081,5.961768111,4.644201551,1.558732109,1.64972642,1.833197371,1.229459313,1.873639545,2.846282388,5.641438933,7.329146118,5.96852465
50,3,6,1,37,1037,Alabama,Coosa County,11539,11756,6.83E-06,6.66E-06,6.57E-06,6.52E-06,6.40E-06,6.34E-06,6.27E-06,6.21E-06,6.17E-06,6.18E-06,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663,24,-294,-140,-92,-217,-103,-115,-95,-81,20,21,94,107,86,103,97,87,81,97,89,11,163,139,133,122,137,155,152,122,122,10,-69,-32,-47,-19,-40,-68,-71,-25,-33,-1,1,-3,4,3,12,17,14,15,13,16,-228,-103,-47,-207,-72,-64,-38,-72,42,15,-227,-106,-43,-204,-60,-47,-24,-57,55,-1,2,-2,-2,6,-3,0,0,1,-2,338,338,338,338,338,266,257,256,247,199,196,8.080460758,9.372810091,7.610619469,9.241397874,8.829821128,7.998896704,7.519844033,9.079421538,8.354454144,14.0118628,12.17589348,11.7699115,10.94612175,12.47098448,14.25090792,14.11131226,11.41947864,11.4521731,-5.931402046,-2.803083392,-4.159292035,-1.70472388,-3.641163352,-6.252011217,-6.591468226,-2.340057097,-3.097718952,0.085962349,-0.262789068,0.353982301,0.269166928,1.092349006,1.563002804,1.299726129,1.404034258,1.220313527,-19.59941546,-9.022424667,-4.159292035,-18.57251806,-6.554094033,-5.884245851,-3.527828065,-6.73936444,3.942551394,-19.51345311,-9.285213735,-3.805309735,-18.30335113,-5.461745028,-4.321243047,-2.228101936,-5.335330182,5.162864921
