Object ID,County GNIS Code,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,Total Commuters (Workers 16 Years and Over Who Did Not Work at Home),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home) - Margin of Error,Workers whose commute was less than 5 minutes,Workers whose commute was less than 5 minutes - Margin of Error,Workers whose commute was 5 to 9 minutes,Workers whose commute was 5 to 9 minutes - Margin of Error,Workers whose commute was 10 to 14 minutes,Workers whose commute was 10 to 14 minutes - Margin of Error,Workers whose commute was 15 to 19 minutes,Workers whose commute was 15 to 19 minutes - Margin of Error,Workers whose commute was 20 to 24 minutes,Workers whose commute was 20 to 24 minutes - Margin of Error,Workers whose commute was 25 to 29 minutes,Workers whose commute was 25 to 29 minutes - Margin of Error,Workers whose commute was 30 to 34 minutes,Workers whose commute was 30 to 34 minutes - Margin of Error,Workers whose commute was 35 to 39 minutes,Workers whose commute was 35 to 39 minutes - Margin of Error,Workers whose commute was 40 to 44 minutes,Workers whose commute was 40 to 44 minutes - Margin of Error,Workers whose commute was 45 to 59 minutes,Workers whose commute was 45 to 59 minutes - Margin of Error,Workers whose commute was 60 to 89 minutes,Workers whose commute was 60 to 89 minutes - Margin of Error,Workers whose commute was 90 minutes or more,Workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was less than 5 minutes,Percent of workers whose commute was less than 5 minutes - Margin of Error,Percent of workers whose commute was 5 to 9 minutes,Percent of workers whose commute was 5 to 9 minutes - Margin of Error,Percent of workers whose commute was 10 to 14 minutes,Percent of workers whose commute was 10 to 14 minutes - Margin of Error,Percent of workers whose commute was 15 to 19 minutes,Percent of workers whose commute was 15 to 19 minutes - Margin of Error,Percent of workers whose commute was 20 to 24 minutes,Percent of workers whose commute was 20 to 24 minutes - Margin of Error,Percent of workers whose commute was 25 to 29 minutes,Percent of workers whose commute was 25 to 29 minutes - Margin of Error,Percent of workers whose commute was 30 to 34 minutes,Percent of workers whose commute was 30 to 34 minutes - Margin of Error,Percent of workers whose commute was 35 to 39 minutes,Percent of workers whose commute was 35 to 39 minutes - Margin of Error,Percent of workers whose commute was 40 to 44 minutes,Percent of workers whose commute was 40 to 44 minutes - Margin of Error,Percent of workers whose commute was 45 to 59 minutes,Percent of workers whose commute was 45 to 59 minutes - Margin of Error,Percent of workers whose commute was 60 to 89 minutes,Percent of workers whose commute was 60 to 89 minutes - Margin of Error,Percent of workers whose commute was 90 minutes or more,Percent of workers whose commute was 90 minutes or more - Margin of Error,x,y
1,00161526,01001,1539602123,25706961,Autauga County,Alabama,23753,756,979,342,2072,446,2498,423,3369,477,3286,484,2247,407,4762,466,1038,244,724,226,1432,263,874,255,472,193,4.1,1.4338298560432,8.7,1.85701819477949,10.5,1.74908891143172,14.2,1.95677067818922,13.8,1.98949706029529,9.5,1.68680767326214,20,1.85519277222219,4.4,1.01777918334724,3,0.946500152082727,6,1.0904757961284,3.7,1.06714184062124,2,0.810063788965322,-86.6427482632969,32.5350741448193
2,00161527,01003,4117546676,1133055836,Baldwin County,Alabama,85813,1795,1631,404,7499,826,11319,856,12109,848,11507,968,5666,777,14808,1163,2288,387,3718,639,8527,972,4958,745,1783,393,1.9,0.469109461964682,8.7,0.945042081176789,13.2,0.958601030265201,14.1,0.943083673249931,13.4,1.09260489468444,6.6,0.894861744506404,17.3,1.30632082261791,2.7,0.447518750067422,4.3,0.739106690590605,9.9,1.11346154064959,5.8,0.859713730093475,2.1,0.455905613633496,-87.7226518349297,30.7287733957847
3,00161528,01005,2292144655,50538698,Barbour County,Alabama,8427,406,515,145,1624,265,1348,189,1065,185,919,186,395,138,914,177,173,64,114,62,684,191,518,131,158,73,6.1,1.69528138820657,19.3,3.00446333952824,16,2.10622299148103,12.6,2.1091985548001,10.9,2.14374455775423,4.7,1.62194764792604,10.8,2.03435208102486,2.1,0.752995649722674,1.4,0.732837875178127,8.1,2.23253430770856,6.1,1.52605717769326,1.9,0.861540616040222,-85.3930912283188,31.8698924062705
4,00161529,01007,1612167481,9602089,Bibb County,Alabama,7738,515,159,105,649,192,1091,279,797,269,657,307,387,173,935,240,694,294,431,185,1253,245,622,218,63,38,2.1,1.35003085617979,8.4,2.41765667030901,14.1,3.48133417891852,10.3,3.40809345688425,8.5,3.92698422117832,5,2.21080252273969,12.1,2.99550462564222,9,3.75224953841449,5.6,2.36188418417517,16.2,2.97713348431855,8,2.76600389167262,0.8,0.488084331146429,-87.1264328940503,32.9988269525526
5,00161530,01009,1670103911,15015423,Blount County,Alabama,20671,669,567,189,1897,278,1594,285,1387,263,1799,323,920,220,2590,366,745,190,1034,236,4427,641,3099,351,612,171,2.7,0.910004560055121,9.2,1.31167283752077,7.7,1.35596747687029,6.7,1.25364435423222,8.7,1.53697975890529,4.5,1.05450047667075,12.5,1.72353489908343,3.6,0.911730964195006,5,1.13015979480424,21.4,3.02250640543656,15,1.6272326740652,3,0.821677780173094,-86.5672915338406,33.981101552051
6,00161531,01011,1613059160,6054988,Bullock County,Alabama,3832,486,376,200,386,201,695,318,337,166,291,122,51,49,320,131,217,178,164,136,504,280,332,145,159,131,9.8,5.06867768894778,10.1,5.08734770228194,18.1,7.97337533369742,8.8,4.18589166406652,7.6,3.03454396433054,1.3,1.26751603372373,8.4,3.25038580279515,5.7,4.5892360443917,4.3,3.50730857562853,13.2,7.11394087996,8.7,3.62087001148798,4.1,3.3778343823107,-85.715716910884,32.1006956701416
7,00161532,01013,2012002530,2701198,Butler County,Alabama,7647,337,215,74,1023,195,1297,291,1175,254,1150,232,225,92,1017,209,92,62,128,56,813,218,354,128,158,62,2.8,0.959734623512716,13.4,2.48093258647159,17,3.73128383732725,15.4,3.25180778587895,15,2.96059706374407,2.9,1.19607807427367,13.3,2.66951606083267,1.2,0.809040043731227,1.7,0.728588599586347,10.6,2.81202578315847,4.6,1.661380167776,2.1,0.805646204711034,-86.6802880828758,31.7526881510561
8,00161533,01015,1569189622,16627597,Calhoun County,Alabama,45708,1151,1862,317,4845,547,6400,659,7676,600,7153,748,2672,386,6498,617,1201,282,1077,282,2951,407,1968,354,1405,297,4.1,0.685904360155239,10.6,1.16657969315997,14,1.39798205698988,16.8,1.24269683092309,15.6,1.58831835844121,5.8,0.831562059447405,14.2,1.30153783836674,2.6,0.61340159326134,2.4,0.614100042901043,6.5,0.875467287590519,4.3,0.766854828347201,3.1,0.645149954022015,-85.8259893403797,33.7716186090011
9,00161534,01017,1545085607,16971701,Chambers County,Alabama,14138,493,390,160,1243,261,1893,354,3012,420,2294,360,735,198,2269,358,225,78,418,182,870,212,644,196,145,68,2.8,1.12760640281071,8.8,1.82045390117805,13.4,2.45997417725764,21.3,2.87632953901272,16.2,2.48267191468879,5.2,1.38869839962572,16,2.46956623554606,1.6,0.548906462367136,3,1.28317575892278,6.2,1.48407213541636,4.6,1.37720518116091,1,0.47964180226876,-85.3920612254039,32.9145755494222
10,00161535,01019,1433623321,120308339,Cherokee County,Alabama,9502,453,309,121,1047,216,1196,266,1143,209,723,189,422,124,1729,307,386,156,425,149,1289,244,605,186,228,108,3.3,1.26394347845062,11,2.21167681932516,12.6,2.73434092098733,12,2.12346164065617,7.6,1.9556974626331,4.4,1.28769777644732,18.2,3.11226163883115,4.1,1.63029684530508,4.5,1.55352511705755,13.6,2.48510644234195,6.4,1.93380415583415,2.4,1.13083155211748,-85.6037932332674,34.1762700714534
