Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population,Total Population - Margin of Error,Male Population,Male Population - Margin of Error,Males Under 5 Years,Males Under 5 Years - Margin of Error,Males 5 to 9 Years,Males 5 to 9 Years - Margin of Error,Males 10 to 14 Years,Males 10 to 14 Years - Margin of Error,Males 15 to 17 Years,Males 15 to 17 Years - Margin of Error,Males 18 to 19 Years,Males 18 to 19 Years - Margin of Error,Males 20 Years,Males 20 Years - Margin of Error,Males 21 Years,Males 21 Years - Margin of Error,Males 22 to 24 Years,Males 22 to 24 Years - Margin of Error,Males 25 to 29 Years,Males 25 to 29 Years - Margin of Error,Males 30 to 34 Years,Males 30 to 34 Years - Margin of Error,Males 35 to 39 Years,Males 35 to 39 Years - Margin of Error,Males 40 to 44 Years,Males 40 to 44 Years - Margin of Error,Males 45 to 49 Years,Males 45 to 49 Years - Margin of Error,Males 50 to 54 Years,Males 50 to 54 Years - Margin of Error,Males 55 to 59 Years,Males 55 to 59 Years - Margin of Error,Males 60 and 61 Years,Males 60 and 61 Years - Margin of Error,Males 62 to 64 Years,Males 62 to 64 Years - Margin of Error,Males 65 and 66 Years,Males 65 and 66 Years - Margin of Error,Males 67 to 69 Years,Males 67 to 69 Years - Margin of Error,Males 70 to 74 Years,Males 70 to 74 Years - Margin of Error,Males 75 to 79 Years,Males 75 to 79 Years - Margin of Error,Males 80 to 84 Years,Males 80 to 84 Years - Margin of Error,Males 85 Years and Over,Males 85 Years and Over - Margin of Error,Female Population,Female Population - Margin of Error,Females Under 5 Years,Females Under 5 Years - Margin of Error,Females 5 to 9 Years,Females 5 to 9 Years - Margin of Error,Females 10 to 14 Years,Females 10 to 14 Years - Margin of Error,Females 15 to 17 Years,Females 15 to 17 Years - Margin of Error,Females 18 to 19 Years,Females 18 to 19 Years - Margin of Error,Females 20 Years,Females 20 Years - Margin of Error,Females 21 Years,Females 21 Years - Margin of Error,Females 22 to 24 Years,Females 22 to 24 Years - Margin of Error,Females 25 to 29 Years,Females 25 to 29 Years - Margin of Error,Females 30 to 34 Years,Females 30 to 34 Years - Margin of Error,Females 35 to 39 Years,Females 35 to 39 Years - Margin of Error,Females 40 to 44 Years,Females 40 to 44 Years - Margin of Error,Females 45 to 49 Years,Females 45 to 49 Years - Margin of Error,Females 50 to 54 Years,Females 50 to 54 Years - Margin of Error,Females 55 to 59 Years,Females 55 to 59 Years - Margin of Error,Females 60 and 61 Years,Females 60 and 61 Years - Margin of Error,Females 62 to 64 Years,Females 62 to 64 Years - Margin of Error,Females 65 and 66 Years,Females 65 and 66 Years - Margin of Error,Females 67 to 69 Years,Females 67 to 69 Years - Margin of Error,Females 70 to 74 Years,Females 70 to 74 Years - Margin of Error,Females 75 to 79 Years,Females 75 to 79 Years - Margin of Error,Females 80 to 84 Years,Females 80 to 84 Years - Margin of Error,Females 85 Years and Over,Females 85 Years and Over - Margin of Error,Ratio of Males to Females,Ratio of Males to Females - Margin of Error,Population Less Than 18 Years,Population Less Than 18 Years - Margin of Error,Percent of Population that is Less Than 18 Years,Percent of Population that is Less Than 18 Years - Margin of Error,Population 65 Years and Over,Population 65 Years and Over - Margin of Error,Percent of Population that is 65 Years and Over,Percent of Population that is 65 Years and Over - Margin of Error,Population in Dependent Age Groups (under 18 and 65+),Population in Dependent Age Groups (under 18 and 65+) - Margin of Error,Percent of Population in Dependent Age Groups (under 18 and 65+),Percent of Population in Dependent Age Groups (under 18 and 65+) - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,4864680,,2355799,1011,149151,618,154426,1885,158729,2021,98202,499,65598,864,36376,1577,35261,1416,97598,1687,162663,627,148737,762,144144,2225,147214,2323,150559,663,160452,615,160682,1790,60037,1609,85569,1787,51870,1347,70217,1380,91817,1580,61026,1209,38279,978,27192,908,2508881,1011,142974,606,147748,2083,153364,2120,94199,540,65915,942,35484,1227,34087,1405,95610,1614,165559,651,155701,626,153698,2241,154326,2209,159748,547,170310,539,173329,1817,68825,1740,94573,1554,60161,1386,80851,1466,108141,1485,80154,1363,57880,1500,56244,1340,0.94,0.000138605426336979,1098793,4214,22.6,,783832,4652,16.1,,1882625,6277,38.7,,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,738516,,385579,465,27605,143,26511,750,26200,729,15376,233,9785,220,6014,625,6587,654,20020,640,32871,243,29750,278,26104,684,22094,689,23403,347,25326,335,25948,762,9884,585,13164,651,7903,423,9285,409,10386,457,5747,328,3282,273,2334,268,352937,465,26635,140,26117,644,23521,609,14173,215,8117,232,4456,424,4790,370,14882,589,28979,228,26919,217,23444,627,21037,600,21471,251,23144,155,24956,616,9574,475,11231,449,6552,473,9155,492,10085,442,5694,329,4092,273,3913,305,1.09,0.000579598039577872,186138,1421,25.2,,78428,1321,10.6,,264566,1940,35.8,,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,6946685,,3453439,497,222981,214,230966,2982,237590,3007,141556,267,97291,368,53619,1550,52584,1460,148625,2037,253812,441,235745,283,218187,2490,213557,2452,209738,222,209304,281,202117,1920,78444,1683,113409,1934,73286,1659,102747,1482,140586,1759,102589,1390,64662,1278,50044,1194,3493246,497,213121,277,221866,2486,229677,2501,136026,248,93324,710,49596,1630,48052,1532,135879,1804,234547,237,221707,251,215619,2594,207857,2573,210350,180,215871,229,218373,1876,87314,1806,129661,2077,83283,1779,116285,1870,158048,1883,114385,1927,73900,1666,78505,1736,0.99,2.14173914932372E-05,1633783,5534,23.5,,1158320,5722,16.7,,2792103,7960,40.2,,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,2990671,,1468412,966,97632,421,100727,1839,101296,1863,61628,562,41456,693,23681,1155,21953,1137,59003,1390,99732,538,94689,517,92867,1610,90446,1587,89915,528,95671,531,94127,1418,35723,1019,51462,1204,31690,1170,44633,1263,56516,1325,39873,870,24481,861,19211,668,1522259,966,92679,487,97057,1832,96499,1849,58425,499,39559,711,21003,1116,20268,1105,58498,1298,100506,677,94492,598,95262,1871,90009,1736,92179,580,98715,467,101233,1308,39087,1380,55656,1356,34795,1001,49787,1198,66603,1241,48538,1043,34362,873,37047,1047,0.96,0.000167288120363706,705943,3822,23.6,,487536,3686,16.3,,1193479,5310,39.9,,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,39148760,,19453769,1122,1268862,527,1274390,5699,1307143,5634,785629,488,534964,767,300238,4346,291051,3575,861027,4976,1571925,748,1467111,690,1335677,6262,1271347,6192,1287549,549,1280116,557,1203213,5119,452961,4101,602955,4738,362895,3200,472769,3316,589271,3795,405391,2758,273776,2716,253509,2578,19694991,1122,1211817,577,1224929,5120,1249526,5157,751359,429,511626,900,272441,3926,270702,3677,814171,4496,1470739,657,1394237,642,1309353,4875,1268788,4875,1290222,640,1297966,524,1262708,4910,483344,4066,653217,4358,402402,3323,540203,3599,693891,4089,499498,3544,373791,3069,448061,3363,0.99,8.88891484840188E-06,9073655,10866,23.2,,5315457,11457,13.6,,14389112,15790,36.8,,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,5531141,,2780831,795,171155,446,182468,2060,183742,1980,107404,457,75396,652,38768,1434,39582,1501,119777,1842,221913,676,219400,641,199031,2247,185937,2248,181419,517,178165,594,178485,1630,67167,1675,93106,1607,56955,1450,73215,1445,87863,1801,56335,1044,33978,908,29570,954,2750310,795,164044,440,172931,2186,175592,2175,102483,384,69347,555,34859,1411,35734,1165,109267,1681,204719,460,203125,434,191163,2104,173146,2065,175971,406,179799,336,184516,1978,72993,1470,97899,1765,60055,1392,78215,1479,99528,1597,65456,1135,45975,1161,53493,1170,1.01,4.31827779538763E-05,1259819,4292,22.8,,740638,4576,13.4,,2000457,6274,36.2,,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,3581504,,1747131,418,94768,294,101921,1783,115164,1745,73109,214,53233,332,25649,1143,25684,1134,75761,1307,113032,226,109545,191,103316,1684,105773,1696,120774,245,132434,233,129374,1677,48708,1429,64859,1426,37397,911,50620,1008,64036,1051,43544,926,28605,889,29825,895,1834373,418,90215,151,99085,1677,108971,1717,69392,185,51448,347,25902,1231,24184,1205,68310,1563,106947,253,110324,263,107236,1595,110698,1593,128414,190,140516,168,136796,1583,52427,1280,69955,1387,41013,1117,57061,1433,77287,1329,55333,1029,43497,1202,59362,1014,0.95,6.94378890784183E-05,752625,3489,21,,587580,3741,16.4,,1340205,5115,37.4,,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,949495,,459570,137,27813,124,27532,827,30043,854,17767,61,12533,87,6729,552,6234,693,18042,792,33137,132,30102,206,27662,873,25972,861,28892,68,31832,92,31908,840,12523,683,16403,712,11587,622,14791,651,19562,604,13733,536,7817,480,6956,465,489925,137,27041,95,27634,815,28633,817,16963,83,12535,112,6891,512,6062,542,17064,721,32966,120,30153,120,28834,796,27770,789,31116,60,34613,126,36267,773,12946,561,19754,686,13216,699,17727,684,22783,632,16928,715,10547,562,11482,601,0.94,9.68997874044456E-05,203426,1667,21.4,,167129,2110,17.6,,370555,2689,39,,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,684498,,324881,83,22724,45,17266,576,13562,572,7924,5,9721,267,5493,508,5610,615,13801,697,37850,64,36999,57,28413,794,20714,786,19244,26,19208,96,17978,597,6526,503,8470,524,4706,369,6276,463,9434,498,5706,370,3549,407,3707,293,359617,83,21968,35,16462,718,14001,719,7830,66,11942,211,6127,572,5333,483,17753,722,44563,93,40304,81,29082,814,20967,813,19030,24,18978,42,18475,717,7425,526,11043,525,6290,478,8827,471,11387,552,8783,507,5798,475,7249,548,0.9,9.89631840144735E-05,121737,1303,17.8,,81712,1589,11.9,,203449,2055,29.7,,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,20598139,,10071925,1388,570515,798,579011,5087,599823,5213,369269,658,248252,1164,139126,3138,132153,3055,385932,3720,699552,1049,650704,892,617492,4943,618774,5029,653838,895,695182,966,666945,4451,258102,3442,355805,3746,234111,3140,339287,3354,468884,3352,353420,3359,231596,3213,204152,3268,10526214,1388,546905,823,552728,3893,577156,3942,353145,605,230440,947,132337,3516,128463,2611,366157,4045,674394,822,641298,749,629548,4557,627945,4570,672627,616,727190,740,732485,5068,286049,3817,414421,4379,273603,3520,388966,4124,542743,3816,403820,3825,292005,3549,331789,3957,0.96,3.8319971622377E-05,4148552,9266,20.1,,4064376,12307,19.7,,8212928,15405,39.9,,-81.9322487419347,28.6538478054924
