Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Total Workers 16 Years and Over,Total Workers 16 Years and Over - Margin of Error,"All Workers who commuted by car, truck, or van","All Workers who commuted by car, truck, or van - Margin of Error",Workers who drove alone,Workers who drove alone - Margin of Error,Workers who carpooled,Workers who carpooled - Margin of Error,All Workers who commuted by public transportation (excluding taxicab),All Workers who commuted by public transportation (excluding taxicab) - Margin of Error,Workers who commuted by bus or trolley bus,Workers who commuted by bus or trolley bus - Margin of Error,Workers who commuted by streetcar or trolley car (carro público in Puerto Rico),Workers who commuted by streetcar or trolley car (carro público in Puerto Rico) - Margin of Error,Workers who commuted by subway or elevated,Workers who commuted by subway or elevated - Margin of Error,Workers who commuted by railroad,Workers who commuted by railroad - Margin of Error,Workers who commuted by ferryboat,Workers who commuted by ferryboat - Margin of Error,Workers who commuted by taxicab,Workers who commuted by taxicab - Margin of Error,Workers who commuted by motorcycle,Workers who commuted by motorcycle - Margin of Error,Workers who commuted by bicycle,Workers who commuted by bicycle - Margin of Error,Workers who commuted by walking,Workers who commuted by walking - Margin of Error,Workers who commuted by other means,Workers who commuted by other means - Margin of Error,Workers who worked at home,Workers who worked at home - Margin of Error,Percent of workers who commuted by driving alone,Percent of workers who commuted by driving alone - Margin of Error,Percent of workers who commuted by carpooling,Percent of workers who commuted by carpooling - Margin of Error,Percent of workers who commuted by public transportation,Percent of workers who commuted by public transportation - Margin of Error,Percent of workers who commuted by bus or trolley bus,Percent of workers who commuted by bus or trolley bus - Margin of Error,Percent of workers who commuted by streetcar or trolley car,Percent of workers who commuted by streetcar or trolley car - Margin of Error,Percent of workers who commuted by subway or elevated,Percent of workers who commuted by subway or elevated - Margin of Error,Percent of workers who commuted by railroad,Percent of workers who commuted by railroad - Margin of Error,Percent of workers who commuted by ferryboat,Percent of workers who commuted by ferryboat - Margin of Error,Percent of workers who commuted by taxicab,Percent of workers who commuted by taxicab - Margin of Error,Percent of workers who commuted by motorcycle,Percent of workers who commuted by motorcycle - Margin of Error,Percent of workers who commuted by bicycle,Percent of workers who commuted by bicycle - Margin of Error,Percent of workers who commuted by walking,Percent of workers who commuted by walking - Margin of Error,Percent of workers who commuted by other means,Percent of workers who commuted by other means - Margin of Error,Percent of workers who worked at home,Percent of workers who worked at home - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,2051445,7865,1934423,8203,1760032,8306,174391,3364,6959,682,6427,672,126,84,98,83,65,45,243,134,741,174,2238,316,2115,304,22977,1206,15111,1003,66881,2140,85.8,0.236091421163762,8.5,0.160710572854338,0.3,0.0332194105417957,0.3,0.032735369523143,0,0.00409460701921292,0,0.00404588714776955,0,0.0021935421117483,0,0.00653182324530927,0,0.00848069563805797,0.1,0.0153980969818826,0.1,0.0148135503824187,1.1,0.0586307910077234,0.7,0.0488107387079546,3.3,0.103565182531381,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,358627,1842,290566,2199,246808,2440,43758,1763,4981,523,4598,516,46,59,37,28,23,31,277,77,1045,185,488,128,3590,438,27575,1128,13651,667,16731,803,68.8,0.58134322736392,12.2,0.487586066947907,1.4,0.145659385410105,1.3,0.143731306247452,0,0.0164515016790239,0,0.0078073750912017,0,0.00864401590193432,0.1,0.0214671106024268,0.3,0.0515639151155425,0.1,0.0356848359456833,1,0.122024191459531,7.7,0.312043701882063,3.8,0.184956659001512,4.7,0.22262365062807,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,3008707,8646,2632801,9734,2306027,9270,326774,5309,57302,2125,52612,2087,2319,367,1235,256,883,215,253,139,4477,593,12538,773,27178,1363,57910,1756,33773,1344,182728,3178,76.6,0.21544890900381,10.9,0.173672387970798,1.9,0.070415975516228,1.7,0.0691830905559271,0.1,0.0121959197796192,0,0.00850782076304929,0,0.00714542911517849,0,0.0046198615756129,0.1,0.0197048241596185,0.4,0.0256641758700895,0.9,0.045227420746994,1.9,0.0581012648665202,1.1,0.0445537330870669,6.1,0.104174951723909,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,1274750,6555,1189092,6648,1055112,6149,133980,3156,4631,521,4322,516,50,58,110,81,72,53,77,51,801,219,2134,341,2205,317,22089,1234,10341,890,43457,1620,82.8,0.226998309329855,10.5,0.241606885047401,0.4,0.0408280440936322,0.3,0.0404409620762986,0,0.0045498670425678,0,0.00635403216177747,0,0.00415757653011379,0,0.00400066389229763,0.1,0.0171768004013321,0.2,0.0267364888191739,0.2,0.0248517086455939,1.7,0.0963923342235415,0.8,0.0696928834260212,3.4,0.125868883675152,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,17904213,22700,15039427,23522,13203972,18894,1835455,14997,910567,6572,588949,5646,22326,1217,210027,3502,78582,2108,10683,786,25127,1559,60775,1987,180761,3703,474721,5255,192025,3866,1020810,7531,73.7,0.0489246509153282,10.3,0.0827478494329518,5.1,0.0361356600484908,3.3,0.0312574758659069,0.1,0.00679544400300189,1.2,0.019503015754209,0.4,0.0117606076748269,0.1,0.00438937634499323,0.1,0.0087056296160421,0.3,0.0110895988231102,1,0.0206426343554694,2.7,0.0291574852614833,1.1,0.0215498243501453,5.7,0.0414369251296572,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,2822072,6790,2374938,7132,2125477,7967,249461,3907,86516,2352,67401,2154,2557,419,10676,609,5583,581,299,130,1731,348,4711,413,33829,1184,80354,2111,21779,1194,218214,2852,75.3,0.216473685667728,8.8,0.136800941911705,3.1,0.0830159691669304,2.4,0.0761102721920034,0.1,0.0148456464119619,0.4,0.0215606845225802,0.2,0.0205822067322634,0,0.00460647387585922,0.1,0.0123304818870377,0.2,0.0146291245594009,1.2,0.0418557355811703,2.8,0.0744888209802914,0.8,0.0422685737969556,7.7,0.0993332752846048,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,1780653,5383,1535452,6331,1391925,6347,143527,3578,84347,2121,41788,1828,351,139,2226,313,39810,1126,172,69,2505,372,1284,254,4895,495,49525,1834,12079,958,90566,2176,78.2,0.266849769283762,8.1,0.19945461650516,4.7,0.118249718473518,2.3,0.102413538558871,0,0.00780589760600555,0.1,0.0175737582614921,2.2,0.0628730088330892,0,0.00387487291577251,0.1,0.0208868832733078,0.1,0.0142627642369533,0.3,0.0277863661908817,2.8,0.102652162984676,0.7,0.0537613915436771,5.1,0.121231221448438,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,444908,2826,396966,3200,360365,3347,36601,1615,11739,855,9067,705,82,52,319,127,2196,355,75,64,137,78,433,148,1328,262,9518,731,3154,444,21633,1058,81,0.548856998154674,8.2,0.359215586364807,2.6,0.191442365010729,2,0.157930101875171,0,0.0116872232888743,0.1,0.0285415939634692,0.5,0.0797301591599185,0,0.0143845979267573,0,0.0175306233239563,0.1,0.0332595597477021,0.3,0.058858050314379,2.1,0.163740742960597,0.7,0.0996942727125389,4.9,0.235787809457766,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,366168,2437,144993,2469,125462,2329,19531,1130,127530,2737,50181,2026,712,219,75595,2042,1000,185,42,49,3131,414,557,182,16350,989,48047,1713,3155,460,22405,1116,34.3,0.593762847255231,5.3,0.306552929776957,34.8,0.710621824892855,13.7,0.545728565757307,0.2,0.0597946099069187,20.6,0.540475907434949,0.3,0.050490552490605,0,0.0133816179162664,0.9,0.112919544900051,0.2,0.0496936494733361,4.5,0.268454768852205,13.1,0.459594696514802,0.9,0.125494445479762,6.1,0.302045276567658,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,9140393,18857,8096487,19602,7255390,17096,841097,11178,176146,4470,157889,4450,1289,298,9586,830,6519,713,863,248,16176,1262,24884,1225,58229,2193,129987,3016,103965,3089,534519,7046,79.4,0.0903679218317035,9.2,0.120809854074505,1.9,0.0487419309991138,1.7,0.0485543951448848,0,0.00326012387612256,0.1,0.00907799437930945,0.1,0.00779915205209215,0,0.00271316133907383,0.2,0.013802018025137,0.3,0.0133902757875538,0.6,0.0239563802543084,1.4,0.0328657007334494,1.1,0.0337134812494636,5.8,0.0761364779916559,-81.9322487419347,28.6538478054924
