Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home) - Margin of Error,Workers whose commute was less than 5 minutes,Workers whose commute was less than 5 minutes - Margin of Error,Workers whose commute was 5 to 9 minutes,Workers whose commute was 5 to 9 minutes - Margin of Error,Workers whose commute was 10 to 14 minutes,Workers whose commute was 10 to 14 minutes - Margin of Error,Workers whose commute was 15 to 19 minutes,Workers whose commute was 15 to 19 minutes - Margin of Error,Workers whose commute was 20 to 24 minutes,Workers whose commute was 20 to 24 minutes - Margin of Error,Workers whose commute was 25 to 29 minutes,Workers whose commute was 25 to 29 minutes - Margin of Error,Workers whose commute was 30 to 34 minutes,Workers whose commute was 30 to 34 minutes - Margin of Error,Workers whose commute was 35 to 39 minutes,Workers whose commute was 35 to 39 minutes - Margin of Error,Workers whose commute was 40 to 44 minutes,Workers whose commute was 40 to 44 minutes - Margin of Error,Workers whose commute was 45 to 59 minutes,Workers whose commute was 45 to 59 minutes - Margin of Error,Workers whose commute was 60 to 89 minutes,Workers whose commute was 60 to 89 minutes - Margin of Error,Workers whose commute was 90 minutes or more,Workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was less than 5 minutes,Percent of workers whose commute was less than 5 minutes - Margin of Error,Percent of workers whose commute was 5 to 9 minutes,Percent of workers whose commute was 5 to 9 minutes - Margin of Error,Percent of workers whose commute was 10 to 14 minutes,Percent of workers whose commute was 10 to 14 minutes - Margin of Error,Percent of workers whose commute was 15 to 19 minutes,Percent of workers whose commute was 15 to 19 minutes - Margin of Error,Percent of workers whose commute was 20 to 24 minutes,Percent of workers whose commute was 20 to 24 minutes - Margin of Error,Percent of workers whose commute was 25 to 29 minutes,Percent of workers whose commute was 25 to 29 minutes - Margin of Error,Percent of workers whose commute was 30 to 34 minutes,Percent of workers whose commute was 30 to 34 minutes - Margin of Error,Percent of workers whose commute was 35 to 39 minutes,Percent of workers whose commute was 35 to 39 minutes - Margin of Error,Percent of workers whose commute was 40 to 44 minutes,Percent of workers whose commute was 40 to 44 minutes - Margin of Error,Percent of workers whose commute was 45 to 59 minutes,Percent of workers whose commute was 45 to 59 minutes - Margin of Error,Percent of workers whose commute was 60 to 89 minutes,Percent of workers whose commute was 60 to 89 minutes - Margin of Error,Percent of workers whose commute was 90 minutes or more,Percent of workers whose commute was 90 minutes or more - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,1984564,8233,51349,1669,187045,3455,279860,4244,334026,3769,313420,4237,133836,3261,293268,3717,57260,1670,59753,1739,151641,3385,86216,2248,36890,1456,2.6,0.0834112513099847,9.4,0.169646131871836,14.1,0.205692933418759,16.8,0.176614074528312,15.8,0.203196484031379,6.7,0.161918998264737,14.8,0.176978463115567,2.9,0.0832938262652684,3,0.0867314834844424,7.6,0.167595005207061,4.3,0.111831320573778,1.9,0.0729598428373484,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,341896,1863,27388,1039,62757,1738,67020,1712,64605,1815,48686,1784,13727,891,23169,1038,3261,394,4367,383,10663,649,9695,692,6558,517,8,0.30074237929637,18.4,0.498404750550784,19.6,0.48921194101174,18.9,0.520781976419227,14.2,0.515994497661379,4,0.25968563503604,6.8,0.301347136139711,1,0.115122464681318,1.3,0.11180594758521,3.1,0.189061550461478,2.8,0.201810070342023,1.9,0.150853926735332,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,2825979,8898,72835,1473,273815,4031,372716,4484,436062,4814,435323,4824,206037,3570,414607,6036,88164,2442,118113,2421,221507,3431,133720,2832,53080,1845,2.6,0.0514879330372466,9.7,0.139340151147123,13.2,0.153140053043118,15.4,0.163272619274729,15.4,0.163666203042764,7.3,0.124224604867617,14.7,0.208534453358658,3.1,0.0858523940428551,4.2,0.0846526309821256,7.8,0.118874359004163,4.7,0.0990993608667901,1.9,0.0650186941237736,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,1231293,6584,55440,1768,169607,2844,215732,3508,216440,3535,175100,2933,68064,1881,138980,2733,26865,1198,32094,1398,70461,1668,42158,1334,20352,1110,4.5,0.141555999420632,13.8,0.218917714812893,17.5,0.269059111584453,17.6,0.271273646120491,14.2,0.225741420207514,5.5,0.149879319173872,11.3,0.213598242607118,2.2,0.096594070507335,2.6,0.112680462365792,5.7,0.131966159333009,3.4,0.106783263534553,1.7,0.0897148216919658,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,16883403,25283,304818,4537,1287249,7823,2091265,10320,2490499,12194,2394143,11527,1009007,7641,2543384,11577,458056,5733,734197,6623,1507217,9613,1393436,8427,670132,6583,1.8,0.0267361921555048,7.6,0.0449067266867398,12.4,0.0582427599281421,14.8,0.068763738798498,14.2,0.0648877571202136,6,0.0443637576144116,15.1,0.0647531914258331,2.7,0.0337124945663892,4.3,0.0386835700526592,8.9,0.0553459037480996,8.3,0.048358519079835,4,0.0385352436335069,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,2603858,7101,72557,2202,253648,3516,353163,4832,404695,4918,395031,4857,176495,2659,369921,4233,83519,1904,99547,2288,209482,3138,133529,2539,52271,1757,2.8,0.0842247040345409,9.7,0.132391426302268,13.6,0.181847223100317,15.5,0.184056346933104,15.2,0.181884749635828,6.8,0.100430740092455,14.2,0.157882336349054,3.2,0.0725971901926456,3.8,0.087248897304974,8,0.118499566857394,5.1,0.0965010743179499,2,0.0672543524851116,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,1690087,6129,43216,1717,158428,3042,250417,3700,267033,3583,261338,3201,112588,2519,213172,2966,49224,1509,63227,1758,117378,2152,97699,2087,56367,1884,2.6,0.101168322740323,9.4,0.176751424732274,14.8,0.212227242029378,15.8,0.204111183811616,15.5,0.180906964518885,6.7,0.147074706848432,12.6,0.169428205684479,2.9,0.0886584217412369,3.7,0.103129793909117,6.9,0.124814988617053,5.8,0.121692332701412,3.3,0.110815477240856,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,423275,3003,9094,708,35938,1336,62199,1774,69660,2003,70184,1985,29287,1354,57695,1639,11312,761,15008,1063,29173,1397,22943,1083,10782,743,2.1,0.166571167666774,8.5,0.309832765348901,14.7,0.405939235105934,16.5,0.458584119217472,16.6,0.453967910759015,6.9,0.316097607011807,13.6,0.374948665242941,2.7,0.178785972354094,3.5,0.249873923150672,6.9,0.326403128978277,5.4,0.252955607751362,2.5,0.174603221504499,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,343763,2572,4040,537,14137,976,25533,1245,39756,1421,52016,1793,26971,1155,69168,2125,18121,991,22763,1161,41146,1578,23228,1101,6884,586,1.2,0.155964607579466,4.1,0.282244366987131,7.4,0.35787920054776,11.6,0.404208550915625,15.1,0.509145550727365,7.8,0.330819567991627,20.1,0.599547278263419,5.3,0.285569367044371,6.6,0.334079117643724,12,0.450217048789773,6.8,0.316263647670726,2,0.169806560256837,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,8605874,18959,150310,3401,615600,7271,1010012,7556,1286170,9574,1369532,9167,583736,6806,1446327,10975,289694,4826,367507,4998,787369,8036,503680,5872,195937,3899,1.7,0.0393317524384087,7.2,0.083006127069435,11.7,0.0839072286277893,14.9,0.106265829702565,15.9,0.100585508573511,6.8,0.0776609399375571,16.8,0.122036302667284,3.4,0.055585462118275,4.3,0.0573095530214687,9.1,0.09117676660167,5.9,0.0670031330698496,2.3,0.0450277594049518,-81.9322487419347,28.6538478054924
