Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population Under 18 in Households,Total Population Under 18 in Households - Margin of Error,Total Grandchildren Under 18 Living with a Grandparent Householder,Total Grandchildren Under 18 Living with a Grandparent Householder - Margin of Error,Grandchildren Under 6 Years Living with a Grandparent Householder,Grandchildren Under 6 Years Living with a Grandparent Householder - Margin of Error,Grandchildren 6 to 11 Years Living with a Grandparent Householder,Grandchildren 6 to 11 Years Living with a Grandparent Householder - Margin of Error,Grandchildren 12 to 17 Years Living with a Grandparent Householder,Grandchildren 12 to 17 Years Living with a Grandparent Householder - Margin of Error,Grandchildren Under 18 Living with Grandparent Householder whose Grandparent Householder is Responsible for Them,Grandchildren Under 18 Living with Grandparent Householder whose Grandparent Householder is Responsible for Them - Margin of Error,"Grandchildren Under 18 Living with Grandparent Householder whose Grandparent Householder is Responsible for Them, Parent Present","Grandchildren Under 18 Living with Grandparent Householder whose Grandparent Householder is Responsible for Them, Parent Present - Margin of Error","Grandchildren Under 18 Living with Grandparent Householder whose Grandparent Householder is Responsible for Them, No Parent Present","Grandchildren Under 18 Living with Grandparent Householder whose Grandparent Householder is Responsible for Them, No Parent Present - Margin of Error",Grandchildren Under 18 Living with Grandparent Householder whose Grandparent Householder is Not Responsible for Them,Grandchildren Under 18 Living with Grandparent Householder whose Grandparent Householder is Not Responsible for Them - Margin of Error,Percent of Children who are in the Care of Grandparents,Percent of Children who are in the Care of Grandparents - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,1096563,512,113862,3261,44745,1806,38352,1598,30765,1473,68844,2517,38219,2066,30625,1697,45018,2251,6.3,0.229516656825406,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,185454,206,14094,715,6726,411,4006,342,3362,347,7420,597,5054,494,2366,386,6674,515,4,0.321882031885917,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,1630808,389,153130,3630,66755,2178,50421,1509,35954,1515,76645,2488,52868,2405,23777,1466,76485,2782,4.7,0.152558291855737,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,702895,646,63215,2411,25796,1216,19907,1256,17512,1077,41885,2231,24255,2045,17630,1091,21330,1312,6,0.317354352100066,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,9051472,924,817690,8276,386074,5020,256090,4536,175526,2761,281520,5453,209784,5100,71736,2523,536170,6782,3.1,0.0602435081400855,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,1257048,567,73796,2560,31401,1438,24405,1252,17990,1043,37070,1674,23982,1394,13088,1035,36726,1941,2.9,0.133162495868414,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,750725,358,42734,1773,18038,1114,14211,963,10485,735,18723,1364,12396,1221,6327,839,24011,1465,2.5,0.181687139449006,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,202694,259,18953,1374,7600,751,6461,712,4892,560,9856,1087,5695,825,4161,648,9097,887,4.9,0.536240363202964,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,121085,200,13949,1193,7178,818,3892,563,2879,418,5797,841,4006,655,1791,492,8152,977,4.8,0.694508395157118,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,4136542,902,366905,6731,158952,4154,120730,3337,87223,2393,172171,4595,113430,4223,58741,2341,194734,4755,4.2,0.111079414318468,-81.9322487419347,28.6538478054924
11,01705317,13,GA,Georgia,149482048342,4422936154,2496532,947,224550,4885,95424,3179,74629,1979,54497,1619,119993,3974,75792,3387,44201,2044,104557,3539,4.8,0.159170374275006,-83.4512728588705,32.6731573337381
12,01779782,15,HI,Hawaii,16633990195,11777809026,304906,411,49345,1915,21017,1089,15698,982,12630,861,14448,1178,10790,1020,3658,630,34897,1704,4.7,0.386295776927836,-155.521205886131,19.6020249913044
13,01779783,16,ID,Idaho,214049787659,2391722557,437900,363,23274,1473,10318,870,7290,713,5666,630,10897,946,6633,746,4264,632,12377,1167,2.5,0.216021208342908,-114.683878125244,44.467482733905
14,01779784,17,IL,Illinois,143780567633,6214824948,2921509,708,205810,4266,93360,2441,64315,2281,48135,1609,88726,3050,62229,2609,26497,1514,117084,3101,3,0.10439550954465,-89.1992243931464,40.1053645021465
15,00448508,18,IN,Indiana,92789302676,1538002829,1568691,844,107922,3252,44834,1843,35864,1583,27224,1262,61607,2668,36004,1839,25603,1686,46315,2098,3.9,0.170064983670118,-86.2727907508566,39.9332337014215
16,01779785,19,IA,Iowa,144661267977,1084180812,726991,623,30511,1407,12751,776,9892,855,7868,537,14464,1025,8496,900,5968,641,16047,864,2,0.140981807553169,-93.5022097471626,42.0905515649658
17,00481813,20,KS,Kansas,211755344060,1344141205,713737,389,38719,1587,16810,913,12638,763,9271,704,20880,1227,12781,983,8099,739,17839,1294,2.9,0.171904668831473,-98.380978436543,38.500201327931
18,01779786,21,KY,Kentucky,102279490672,2375337755,1009027,817,95009,2681,37433,1490,32457,1399,25119,1209,60186,2184,30032,1507,30154,1420,34823,1624,6,0.216392251933112,-85.2821599133082,37.5343728740713
19,01629543,22,LA,Louisiana,111897594374,23753621895,1106257,565,115343,3497,48553,2019,35669,1469,31121,1775,65721,2949,38852,2165,26869,1955,49622,1958,5.9,0.266557316212472,-92.7826889226491,31.3393935291076
20,01779787,23,ME,Maine,79887426037,11746549764,253588,294,15651,982,6031,582,5417,452,4203,465,6782,630,3899,547,2883,361,8869,839,2.7,0.248415118974248,-69.2227764588879,45.4025915694396
21,01714934,24,MD,Maryland,25151100280,6979966958,1341445,318,111764,2698,50171,1610,35897,1356,25696,995,49631,2214,35855,1866,13776,1059,62133,2219,3.7,0.165043571558005,-76.7715506628638,39.0398449722806
22,00606926,25,MA,Massachusetts,20205125364,7129925486,1374067,517,82725,2486,37469,1521,26585,1256,18671,1214,32309,1713,21688,1441,10621,925,50416,1733,2.4,0.124663270782265,-71.7182362783715,42.3595787789504
23,01779789,26,MI,Michigan,146600952990,103885855702,2190033,487,142996,3167,64447,1795,44913,1581,33636,1265,65423,2190,44525,1884,20898,906,77573,2017,3,0.0999962867058827,-84.6218792735369,43.5099917497743
24,00662849,27,MN,Minnesota,206228939448,18945217189,1287474,415,51666,2077,23322,1264,17239,936,11105,755,22802,1313,14464,1079,8338,705,28864,1668,1.8,0.101981044131967,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,717585,627,93135,2712,38223,1428,30475,1275,24437,1487,56626,2064,36708,1949,19918,1570,36509,1561,7.9,0.287548775350306,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,1379152,841,97850,2234,41487,1522,32382,1184,23981,1147,53920,1995,32235,1720,21685,1268,43930,1619,3.9,0.144634458580584,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,226283,444,15595,1095,6014,553,5418,614,4163,407,10169,972,5794,786,4375,569,5426,596,4.5,0.429460092901533,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,470361,725,22546,1387,9977,688,6890,603,5679,523,10514,795,6343,664,4171,415,12032,1075,2.2,0.168983994172327,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,673170,183,50513,2135,24116,1315,16043,1009,10354,832,26095,1443,17732,1395,8363,712,24418,1524,3.9,0.214356338358443,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,261872,187,16373,1079,6693,649,5361,541,4319,555,6889,823,4323,655,2566,425,9484,778,2.6,0.314270062278293,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,1967889,429,125965,3306,58067,2057,40451,1714,27447,1348,49200,2040,35734,1903,13466,1036,76765,2560,2.5,0.103662950708575,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,492587,412,53449,2274,20491,1083,17433,1100,15525,948,29506,1716,17881,1330,11625,981,23943,1456,6,0.348328829268031,-106.106409224733,34.4614491432654
33,01779796,36,NY,New York,122049149763,19246994695,4116950,1556,323075,5044,153253,3457,100131,2247,69691,1948,124778,3396,89117,2947,35661,1709,198297,3945,3,0.0824802956844178,-75.5013589390929,42.965330364791
34,01027616,37,NC,North Carolina,125923656064,13466071395,2287538,575,181580,3803,75069,2428,59541,1641,46970,1663,102389,3312,61919,2529,40470,1894,79191,2780,4.5,0.144780108652503,-79.3637118571318,35.5466450622037
35,01779797,38,ND,North Dakota,178707534813,4403267548,173222,329,6872,602,3391,401,2301,305,1180,174,3913,377,2191,333,1722,304,2959,445,2.3,0.21759749825394,-100.471113855255,47.4685693290347
36,01085497,39,OH,Ohio,105828882568,10268850702,2612731,621,186688,3696,75528,2030,60900,1956,50260,1832,102957,3263,59013,2369,43944,2019,83731,1975,3.9,0.124884966635853,-82.7881144032045,40.3081697476852
37,01102857,40,OK,Oklahoma,177662925723,3374587997,955798,420,79382,2092,31120,1125,26490,979,21772,907,49800,1620,27172,1149,22628,1121,29582,1254,5.2,0.169476415660581,-97.5154977833938,35.5990615809058
38,01155107,41,OR,Oregon,248606993270,6192386935,865027,394,52885,2006,22961,1203,17707,1031,12217,876,23775,1240,15938,1159,7837,774,29110,1522,2.7,0.143342660309682,-120.552210322461,43.9693307831448
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,2664849,567,192799,4145,87301,2833,61245,2016,44253,1422,90114,3014,59859,2672,30255,1564,102685,2967,3.4,0.113099804645411,-77.7997846934395,40.8836410342814
40,01219835,44,RI,Rhode Island,2677779902,1323670487,208160,195,14276,1075,6556,682,4352,616,3368,422,6132,748,4109,551,2023,416,8144,822,2.9,0.35932837366836,-71.5875066739124,41.6961554477739
41,01779799,45,SC,South Carolina,77864918488,5075218778,1093030,511,111625,3277,43824,1485,37628,1874,30173,1520,62697,2583,37516,1827,25181,1800,48928,1947,5.7,0.236300347223896,-80.8985136351716,33.916214884517
42,01785534,46,SD,South Dakota,196346981786,3382720225,211579,421,13632,771,5435,395,4926,405,3271,397,9514,679,5728,564,3786,511,4118,481,4.5,0.320795563323493,-100.232226625261,44.4553415401531
43,01325873,47,TN,Tennessee,106802728188,2350123465,1498210,871,143399,3650,55475,1953,50044,1700,37880,1573,84274,2686,48440,2083,35834,1595,59125,2393,5.6,0.179250781467084,-86.3397866034863,35.8470257836399
44,01779801,48,TX,Texas,676653171537,19006305260,7278470,1047,660182,8562,304176,5270,211485,3783,144521,3881,327872,6463,223200,5588,104672,3521,332310,5864,4.5,0.0887937699392693,-99.3717699000508,31.5724078615364
45,01455989,49,UT,Utah,212886221680,6998824394,915890,303,51379,2025,23440,1352,15945,867,11994,762,19256,1411,13876,1256,5380,692,32123,1744,2.1,0.154056231581736,-111.682412156266,39.3642277011554
46,01779802,50,VT,Vermont,23874175944,1030416650,117840,176,6973,622,2833,347,2429,338,1711,315,3040,467,1676,340,1364,291,3933,477,2.6,0.396281337029925,-72.6609250559808,44.0853991096012
