Object ID,County GNIS Code,fips,Area of Land (Square Meters),Area of Water (Square Meters),county,state,Total Population 1 year and over,Total Population 1 year and over - Margin of Error,Population 1 year and over who lived in the same house 1 year ago,Population 1 year and over who lived in the same house 1 year ago - Margin of Error,Population 1 year and over who lived in a different house in the United States 1 year ago,Population 1 year and over who lived in a different house in the United States 1 year ago - Margin of Error,Population 1 year and over who lived in a different house in the same city or town 1 year ago,Population 1 year and over who lived in a different house in the same city or town 1 year ago - Margin of Error,All Population 1 year and over who lived in a different city or town in the United States 1 year ago,All Population 1 year and over who lived in a different city or town in the United States 1 year ago - Margin of Error,Population 1 year and over who lived in a different house in the same county 1 year ago,Population 1 year and over who lived in a different house in the same county 1 year ago - Margin of Error,All Population 1 year and over who lived in a different county 1 year ago,All Population 1 year and over who lived in a different county 1 year ago - Margin of Error,Population 1 year and over who lived in a different county within the same state 1 year ago,Population 1 year and over who lived in a different county within the same state 1 year ago - Margin of Error,All Population 1 year and over who lived in a different state 1 year ago,All Population 1 year and over who lived in a different state 1 year ago - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the Northeast,Population 1 year and over who lived in a different state 1 year ago who lived in the Northeast - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the Midwest,Population 1 year and over who lived in a different state 1 year ago who lived in the Midwest - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the South,Population 1 year and over who lived in a different state 1 year ago who lived in the South - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the West,Population 1 year and over who lived in a different state 1 year ago who lived in the West - Margin of Error,All population 1 year and over who lived abroad 1 year ago,All population 1 year and over who lived abroad 1 year ago - Margin of Error,Population 1 year and over who lived in Puerto Rico 1 year ago,Population 1 year and over who lived in Puerto Rico 1 year ago - Margin of Error,Population 1 year and over who lived in U.S. Island Areas 1 year ago,Population 1 year and over who lived in U.S. Island Areas 1 year ago - Margin Error,Population 1 year and over who lived in a foreign country 1 year ago,Population 1 year and over who lived in a foreign country 1 year ago - Margin of Error,Percent of population 1 year and over who lived in the same house 1 year ago,Percent of population 1 year and over who lived in the same house 1 year ago - Margin of Error,Population 1 year and over who lived in a different house within the same state 1 year ago,Population 1 year and over who lived in a different house within the same state 1 year ago - Margin of Error,Percent of population 1 year and over who lived in a different house within the same state 1 year ago,Percent of population 1 year and over who lived in a different house within the same state 1 year ago - Margin of Error,Percent of population 1 year and over who lived in a different state 1 year ago,Percent of population 1 year and over who lived in a different state 1 year ago - Margin of Error,Percent of population 1 year and over who lived abroad 1 year ago,Percent of population 1 year and over who lived abroad 1 year ago - Margin of Error,x,y
1,00161526,01001,1539602123,25706961,Autauga County,Alabama,54509,166,46853,1085,7545,1076,1776,632,5769,916,1535,554,4234,854,2444,632,1790,640,97,152,72,86,1095,374,526,482,111,105,0,28,21,36,90,94,86,1.97321010394455,5755,1052,10.6,1.92968867406267,3.3,1.17407544478283,0.2,0.192627741958036,-86.6427482632969,32.5350741448193
2,00161527,01003,4117546676,1133055836,Baldwin County,Alabama,206023,424,182516,2117,22899,2047,2781,768,20118,1743,9481,1294,10637,1328,4661,860,5976,903,402,284,1043,283,3933,765,598,296,608,277,17,21,3,6,588,277,88.6,1.01125115219964,16923,1733,8.2,0.840998334251895,2.9,0.438259923633667,0.3,0.134449636118013,-87.7226518349297,30.7287733957847
3,00161528,01005,2292144655,50538698,Barbour County,Alabama,25469,71,21545,537,3845,518,1515,318,2330,459,1055,435,1275,254,846,196,429,187,0,22,41,44,384,174,4,6,79,65,0,22,0,22,79,65,84.6,2.09521633812023,3416,573,13.4,2.24948315212933,1.7,0.734210906601443,0.3,0.255210753925974,-85.3930912283188,31.8698924062705
4,00161529,01007,1612167481,9602089,Bibb County,Alabama,22112,189,19596,573,2488,561,143,80,2345,554,601,298,1744,492,1623,479,121,96,8,12,4,10,99,91,10,17,28,45,0,22,0,22,28,45,88.6,2.47817063143505,2367,570,10.7,2.57616151091887,0.5,0.43412820544582,0.1,0.203506528488918,-87.1264328940503,32.9988269525526
5,00161530,01009,1670103911,15015423,Blount County,Alabama,57144,151,53593,584,3449,542,271,144,3178,544,1400,323,1778,446,1256,388,522,204,11,17,39,47,413,187,59,74,102,98,0,28,0,28,102,98,93.8,0.991476363664339,2927,525,5.1,0.918631919275166,0.9,0.356984699435708,0.2,0.171495921453466,-86.5672915338406,33.981101552051
6,00161531,01011,1613059160,6054988,Bullock County,Alabama,10333,26,9494,360,839,368,254,242,585,311,399,285,186,100,172,100,14,20,2,3,0,19,12,19,0,19,0,19,0,19,0,19,0,19,91.9,3.47630422023796,825,387,8,3.74522822464848,0.1,0.193554330557809,0,0.183876899254815,-85.715716910884,32.1006956701416
7,00161532,01013,2012002530,2701198,Butler County,Alabama,19869,80,18341,339,1452,326,393,140,1059,298,539,192,520,194,360,143,160,133,7,12,64,81,76,94,13,15,76,82,0,22,0,22,76,82,92.3,1.66520084873909,1292,277,6.5,1.39388569174973,0.8,0.669376615678992,0.4,0.412700332329963,-86.6802880828758,31.7526881510561
8,00161533,01015,1569189622,16627597,Calhoun County,Alabama,113469,265,94526,1703,18824,1666,4989,1035,13835,1417,7044,1067,6791,934,4468,775,2323,499,166,82,159,105,1612,429,386,202,119,77,0,28,0,28,119,77,83.3,1.48818694392275,16501,1676,14.5,1.47666489555022,2,0.439741697788981,0.1,0.0678595021130754,-85.8259893403797,33.7716186090011
9,00161534,01017,1545085607,16971701,Chambers County,Alabama,33558,112,29869,638,3588,606,715,226,2873,574,1107,398,1766,432,868,250,898,350,70,66,55,57,595,280,178,187,101,73,0,25,0,25,101,73,89,1.87783455501321,2690,522,8,1.55528574062268,2.7,1.04293214029742,0.3,0.217531502829624,-85.3920612254039,32.9145755494222
10,00161535,01019,1433623321,120308339,Cherokee County,Alabama,25572,95,23058,595,2501,607,223,112,2278,610,1011,342,1267,473,782,402,485,180,0,22,84,80,385,195,16,25,13,14,0,22,0,22,13,14,90.2,2.30252449229088,2016,540,7.9,2.11148154508975,1.9,0.703859619941933,0.1,0.0547470541978188,-85.6037932332674,34.1762700714534
