Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population 1 year and over,Total Population 1 year and over - Margin of Error,Population 1 year and over who lived in the same house 1 year ago,Population 1 year and over who lived in the same house 1 year ago - Margin of Error,Population 1 year and over who lived in a different house in the United States 1 year ago,Population 1 year and over who lived in a different house in the United States 1 year ago - Margin of Error,Population 1 year and over who lived in a different house in the same city or town 1 year ago,Population 1 year and over who lived in a different house in the same city or town 1 year ago - Margin of Error,All Population 1 year and over who lived in a different city or town in the United States 1 year ago,All Population 1 year and over who lived in a different city or town in the United States 1 year ago - Margin of Error,Population 1 year and over who lived in a different house in the same county 1 year ago,Population 1 year and over who lived in a different house in the same county 1 year ago - Margin of Error,All Population 1 year and over who lived in a different county 1 year ago,All Population 1 year and over who lived in a different county 1 year ago - Margin of Error,Population 1 year and over who lived in a different county within the same state 1 year ago,Population 1 year and over who lived in a different county within the same state 1 year ago - Margin of Error,All Population 1 year and over who lived in a different state 1 year ago,All Population 1 year and over who lived in a different state 1 year ago - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the Northeast,Population 1 year and over who lived in a different state 1 year ago who lived in the Northeast - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the Midwest,Population 1 year and over who lived in a different state 1 year ago who lived in the Midwest - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the South,Population 1 year and over who lived in a different state 1 year ago who lived in the South - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the West,Population 1 year and over who lived in a different state 1 year ago who lived in the West - Margin of Error,All population 1 year and over who lived abroad 1 year ago,All population 1 year and over who lived abroad 1 year ago - Margin of Error,Population 1 year and over who lived in Puerto Rico 1 year ago,Population 1 year and over who lived in Puerto Rico 1 year ago - Margin of Error,Population 1 year and over who lived in U.S. Island Areas 1 year ago,Population 1 year and over who lived in U.S. Island Areas 1 year ago - Margin Error,Population 1 year and over who lived in a foreign country 1 year ago,Population 1 year and over who lived in a foreign country 1 year ago - Margin of Error,Percent of population 1 year and over who lived in the same house 1 year ago,Percent of population 1 year and over who lived in the same house 1 year ago - Margin of Error,Population 1 year and over who lived in a different house within the same state 1 year ago,Population 1 year and over who lived in a different house within the same state 1 year ago - Margin of Error,Percent of population 1 year and over who lived in a different house within the same state 1 year ago,Percent of population 1 year and over who lived in a different house within the same state 1 year ago - Margin of Error,Percent of population 1 year and over who lived in a different state 1 year ago,Percent of population 1 year and over who lived in a different state 1 year ago - Margin of Error,Percent of population 1 year and over who lived abroad 1 year ago,Percent of population 1 year and over who lived abroad 1 year ago - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,4809280,1446,4138615,9707,656099,9698,195803,4951,460296,8192,200983,5616,259313,5552,147638,4126,111675,3883,6555,949,13999,1137,78155,3041,12966,1270,14566,1306,446,191,351,157,13769,1283,86.1,0.200173666831084,544424,8548,11.3,0.177707110848556,2.3,0.0807367178156869,0.3,0.0271556793699682,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,728151,669,595205,3842,127704,3692,56214,2873,71490,2302,20696,1439,50794,1968,18460,1246,32334,1731,1994,437,4921,768,10432,1049,14987,1222,5242,710,225,175,275,155,4742,654,81.7,0.522265635608753,95370,3446,13.1,0.473100471415416,4.4,0.237690405266617,0.7,0.0975050044519427,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,6865715,1712,5640991,13108,1176230,12996,463975,8821,712255,10624,331786,6538,380469,7063,120092,3947,260377,5326,19419,1355,55634,2121,54668,2554,130656,4286,48494,2775,1064,315,412,236,47018,2770,82.2,0.189817235755406,915853,11668,13.3,0.169913328333997,3.8,0.0775680937119898,0.7,0.0404178392725692,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,2953319,1361,2491215,7950,452759,7704,150380,4560,302379,6815,118735,4189,183644,4945,109172,3285,74472,3350,2315,476,16900,1278,43384,2562,11873,1326,9345,1005,688,359,35,52,8622,965,84.4,0.266367084201504,378287,7009,12.8,0.23725278912956,2.5,0.113425749141495,0.3,0.0340291980991345,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,38691041,4475,33538836,25922,4833111,26216,1746334,16338,3086777,20748,1503670,13980,1583107,14505,1073259,11907,509848,7076,87479,3077,88055,3189,159308,4605,175006,3997,319094,5604,2012,466,2141,580,314941,5573,86.7,0.0662430173470506,4323263,24579,11.2,0.0635131871040304,1.3,0.0182878364071867,0.8,0.014483659075565,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,5467766,1831,4464444,12174,968631,11375,302602,5995,666029,9482,171373,4811,494656,7627,269440,5729,225216,4536,21727,1447,49529,2047,78639,2651,75321,2912,34691,1831,589,231,501,250,33601,1818,81.7,0.220965094496052,743415,9587,13.6,0.17527756658545,4.1,0.0829474593221891,0.6,0.0334864942407665,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,3546789,1168,3117120,7376,402358,7224,114306,3936,288052,6036,139941,4451,148111,4152,68651,2569,79460,3314,46342,2656,5583,653,19569,1394,7966,885,27311,1845,3836,858,332,242,23143,1620,87.9,0.205939014821514,322898,6473,9.1,0.18247847693517,2.2,0.0934337140276763,0.8,0.0520182643708246,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,939651,642,820670,3332,114801,3334,15466,1467,99335,3062,53078,2876,46257,1937,9886,980,36371,1952,19747,1598,1761,482,13286,1061,1577,433,4180,465,236,123,22,26,3922,455,87.3,0.349542888029808,78430,3374,8.3,0.359024195899911,3.9,0.207719868194701,0.4,0.0494855249212323,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,675182,721,542864,2687,121665,2449,66724,2216,54941,1847,0,29,54941,1847,0,29,54941,1847,12207,1011,5346,677,30831,1332,6557,598,10653,979,202,94,103,64,10348,984,80.4,0.388594678629235,66724,2216,9.9,0.328038100651442,8.1,0.273417828054253,1.6,0.14498815194733,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,20386265,3306,17177012,20088,2985297,17974,703545,9388,2281752,17174,1072766,13613,1208986,12163,633203,8112,575783,8654,169254,5266,122507,4940,212434,5736,71588,3144,223956,6220,31148,2852,2659,648,190149,5492,84.3,0.0975849595437707,2409514,18419,11.8,0.0903297138162143,2.8,0.0424476786280507,1.1,0.0305102183625959,-81.9322487419347,28.6538478054924
