Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population 15 Years and Over,Total Population 15 Years and Over - Margin of Error,Male Population 15 Years and Over,Male Population 15 Years and Over - Margin of Error,Males who are Never Married,Males who are Never Married - Margin of Error,All Males who are Married,All Males who are Married - Margin of Error,"Males who are Married, Spouse Present","Males who are Married, Spouse Present - Margin of Error","All Males who are Married, Spouse Absent","All Males who are Married, Spouse Absent - Margin of Error","Males who are Married, Spouse Absent (Separated)","Males who are Married, Spouse Absent (Separated) - Margin of Error","Males who are Married, Spouse Absent (Other Absence)","Males who are Married, Spouse Absent (Other Absence) - Margin of Error",Males who are Widowed,Males who are Widowed - Margin of Error,Males who are Divorced,Males who are Divorced - Margin of Error,Female Population 15 Years and Over,Female Population 15 Years and Over - Margin of Error,Females who are Never Married,Females who are Never Married - Margin of Error,All Females who are Married,All Females who are Married - Margin of Error,"Females who are Married, Spouse Present","Females who are Married, Spouse Present - Margin of Error","All Females who are Married, Spouse Absent","All Females who are Married, Spouse Absent - Margin of Error","Females who are Married, Spouse Absent (Separated)","Females who are Married, Spouse Absent (Separated) - Margin of Error","Females who are Married, Spouse Absent (Other Absence)","Females who are Married, Spouse Absent (Other Absence) - Margin of Error",Females who are Widowed,Females who are Widowed - Margin of Error,Females who are Divorced,Females who are Divorced - Margin of Error,Total Never Married,Total Never Married - Margin of Error,Percent Never Married,Percent Never Married - Margin of Error,Total Married,Total Married - Margin of Error,Percent Married,Percent Married - Margin of Error,Total Widowed,Total Widowed - Margin of Error,Percent Widowed,Percent Widowed - Margin of Error,Total Divorced,Total Divorced - Margin of Error,Percent Divorced,Percent Divorced - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,3958288,670,1893493,769,632616,4775,987588,6136,904856,6851,82732,2616,36227,1808,46505,1851,59210,1767,214079,3530,2064795,740,576604,4092,997750,5105,899030,5825,98720,2532,56955,2115,41765,1478,219294,2490,271147,3395,1209220,6288,30.5,0.158772375835496,1985338,7982,50.2,0.20147404413489,278504,3053,7,0.0771201092238442,485226,4898,12.3,0.123722966601639,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,581927,188,305263,403,116513,1505,151515,1788,131322,2001,20193,940,4729,464,15464,923,5888,429,31347,1140,276664,402,81279,1251,143272,1425,128431,1584,14841,937,5459,466,9382,762,15914,606,36199,1174,197792,1957,34,0.336117159581296,294787,2286,50.7,0.392491734972337,21802,742,3.7,0.127501657280736,67546,1636,11.6,0.281109908882313,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,5590484,313,2761902,466,1019271,5888,1369683,7793,1247451,8105,122232,2832,40169,1581,82063,2379,73260,1688,299688,4143,2828582,349,841288,5114,1360606,8002,1227579,8561,133027,2719,56586,1930,76441,2283,238109,2569,388579,4717,1860559,7799,33.3,0.139492471343572,2730289,11170,48.8,0.199785098565787,311369,3074,5.6,0.0549854103466969,688267,6278,12.3,0.112295853720689,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,2404781,668,1168757,884,363211,3326,628324,4154,575354,4510,52970,1766,23476,1097,29494,1418,35892,1128,141330,2646,1236024,829,307356,2977,626792,4097,566750,4470,60042,1741,33010,1374,27032,1121,129487,1721,172389,2653,670567,4464,27.9,0.185468533112061,1255116,5834,52.2,0.242166457158453,165379,2058,6.9,0.085558194608882,313719,3747,13,0.155772458647682,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,31612093,624,15603374,852,6301080,20733,7763329,24963,6887668,29587,875661,8564,262909,3585,612752,7277,333962,3792,1205003,9201,16008719,737,5350456,16788,7670578,22317,6724637,26735,945941,8766,387199,4409,558742,6672,1238940,5481,1748745,10376,11651536,26678,36.9,0.0843886185857494,15433907,33484,48.8,0.105917105908715,1572902,6665,5,0.0210834748694569,2953748,13868,9.3,0.0438688999006396,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,4481209,630,2243466,809,794592,5061,1166885,6585,1077625,7385,89260,2566,27819,1171,61441,2173,47696,1506,234293,3282,2237743,653,630601,3719,1158413,6237,1069438,6851,88975,2371,37000,1263,51975,1897,148328,2233,300401,3501,1425193,6281,31.8,0.140091733925529,2325298,9070,51.9,0.202269226720666,196024,2693,4.4,0.0600922427095672,534694,4799,11.9,0.107078496626826,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,2971380,209,1435278,305,539472,3693,731976,4700,680335,5209,51641,1953,15381,1071,36260,1601,36879,1136,126951,2526,1536102,296,486829,3506,723526,4456,671127,4618,52399,1472,21755,1134,30644,1096,134916,2106,190831,2902,1026301,5092,34.5,0.171350964328305,1455502,6477,49,0.217952293461968,171795,2393,5.8,0.0805339435227966,317782,3847,10.7,0.129466277079757,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,780799,151,374182,144,135250,1477,192732,2228,178395,2328,14337,979,4780,644,9557,772,11022,649,35178,1300,406617,91,124989,1534,193854,2040,176919,2248,16935,1047,7646,767,9289,799,36670,1171,51104,1281,260239,2129,33.3,0.272593209934068,386586,3021,49.5,0.386792857324695,47692,1339,6.1,0.171486929940814,86282,1825,11.1,0.233725160541069,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,578515,81,271329,99,155768,1398,90078,1502,75651,1394,14427,910,5719,461,8708,769,5047,434,20436,969,307186,84,169726,1610,87352,1592,70726,1480,16626,1025,6802,618,9824,784,20141,869,29967,1265,325494,2132,56.3,0.368445563891565,177430,2189,30.7,0.378358215070535,25188,971,4.4,0.167842423372209,50403,1593,8.7,0.275357487388649,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,17172001,835,8322576,1075,2915875,13903,4200919,18777,3745259,22533,455660,7942,161400,4031,294260,5948,267280,3695,938502,8242,8849425,972,2501070,13061,4137892,18097,3633730,21303,504162,7782,229644,4995,274518,4805,922789,6540,1287674,7394,5416945,19076,31.5,0.11107722026129,8338811,26078,48.6,0.15184513123661,1190069,7512,6.9,0.0437443318752989,2226176,11073,13,0.0644797939771424,-81.9322487419347,28.6538478054924
