Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population For Whom Poverty Status is Determined,Total Population For Whom Poverty Status is Determined - Margin of Error,Population whose income in the past 12 months is below federal poverty level,Population whose income in the past 12 months is below federal poverty level - Margin of Error,Population whose income in the past 12 months is below federal poverty level under 6 years,Population whose income in the past 12 months is below federal poverty level under 6 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 6 to 11 years,Population whose income in the past 12 months is below federal poverty level 6 to 11 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 12 to 17 years,Population whose income in the past 12 months is below federal poverty level 12 to 17 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 18 to 59 years,Population whose income in the past 12 months is below federal poverty level 18 to 59 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 60 to 74 years,Population whose income in the past 12 months is below federal poverty level 60 to 74 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 75 to 84 years,Population whose income in the past 12 months is below federal poverty level 75 to 84 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 85 years and over,Population whose income in the past 12 months is below federal poverty level 85 years and over - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level,Population whose income in the past 12 months is at or above federal poverty level - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level under 6 years,Population whose income in the past 12 months is at or above federal poverty level under 6 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 6 to 11 years,Population whose income in the past 12 months is at or above federal poverty level 6 to 11 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 12 to 17 years,Population whose income in the past 12 months is at or above federal poverty level 12 to 17 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 18 to 59 years,Population whose income in the past 12 months is at or above federal poverty level 18 to 59 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 60 to 74 years,Population whose income in the past 12 months is at or above federal poverty level 60 to 74 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 75 to 84 years,Population whose income in the past 12 months is at or above federal poverty level 75 to 84 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 85 years and over,Population whose income in the past 12 months is at or above federal poverty level 85 years and over - Margin of Error,Percent of Population whose income in the past 12 months is below poverty level,Percent of Population whose income in the past 12 months is below poverty level - Margin of Error,Child Population (under 18 years) whose income in the past 12 months is below poverty level,Child Population (under 18 years) whose income in the past 12 months is below poverty level - Margin of Error,Percent of Children (under 18 years) whose income in the past 12 months is below poverty level,Percent of Children (under 18 years) whose income in the past 12 months is below poverty level - Margin of Error,Child Population (under 18 years) for Whom Poverty Status is Determined,Child Population (under 18 years) for Whom Poverty Status is Determined - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,4742208,1024,829400,11916,96958,2896,93602,3136,80910,2293,437867,6549,85992,2026,24807,996,9264,558,3912808,11974,246245,3535,271956,3524,292976,3279,2151573,7309,678029,3392,205435,1819,66594,1469,17.5,0.251246972805619,271470,4846,25.1,0.410636481613954,1082647,7691,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,720674,506,77865,2706,10112,687,9496,780,8007,694,42614,1379,6094,507,1088,198,454,134,642809,2698,53534,994,50417,1059,50706,1044,375097,1783,90499,1081,17298,456,5258,371,10.8,0.375405200594873,27615,1250,15.2,0.661370790561156,182272,2182,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,6788985,1550,1092192,12863,127376,3162,128367,3090,109986,3009,572960,7372,108438,2975,30956,1181,14109,887,5696793,13000,384700,3567,418723,3780,437135,4362,3057301,7760,967195,3441,320807,2044,110932,2119,16.1,0.18943307073866,365729,5348,22.8,0.30960454726568,1606287,8639,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,2903003,988,510337,9133,62975,2228,58070,2480,50064,2338,267050,4770,50391,1513,14727,705,7060,537,2392666,9287,160652,2534,177321,2702,184294,2521,1291096,5408,409772,2098,127573,1295,41958,1077,17.6,0.314548359364837,171109,4072,24.7,0.546303188644054,693376,6055,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,38407403,3254,5487141,38424,589506,7269,601777,7960,556143,6582,2960488,19162,528740,5864,168565,2805,81922,1914,32920262,37943,2328225,9020,2401577,9246,2464298,8581,19109906,20134,4679758,8618,1355291,4492,581207,4578,14.3,0.100035890414445,1747426,12630,19.5,0.134317086604578,8941526,20000,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,5409817,1092,590504,10526,57951,2421,58425,2170,51872,2137,337877,6099,61007,1481,15823,765,7549,522,4819313,10623,340994,2707,366176,2980,367271,2995,2775070,6567,719712,2879,181203,1603,68887,1602,10.9,0.194559725203275,168248,3891,13.5,0.305375075378901,1242689,6349,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,3474901,837,348449,6541,33062,1593,34435,1530,32600,1368,188639,4154,39425,1442,12878,794,7410,606,3126452,6513,185715,1840,214995,2386,242387,2396,1742041,4653,518304,2492,152027,1511,70983,1586,10,0.18822008157593,100097,2598,13.5,0.33929006850345,743194,4644,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,923678,588,109798,3548,12600,1074,12367,1016,10105,794,58469,1825,11619,769,3328,403,1310,251,813880,3519,51299,1349,54134,1377,59176,1245,441241,2058,148274,1274,44413,882,15343,712,11.9,0.384041999197674,35072,1678,17.6,0.802269419240273,199681,2843,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,650912,379,109497,3106,11137,986,9779,674,8792,838,62121,1769,12450,762,3665,486,1553,241,541415,3075,40050,949,27123,819,23056,1019,356663,2054,66647,1042,19555,683,8321,545,16.8,0.47707610029542,29708,1459,24.8,1.13033830577824,119937,2177,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,20178544,2671,2983851,25818,309477,6246,294263,5533,266765,4807,1536479,13421,383801,4809,132198,2346,60868,2003,17194693,25590,1004883,6617,1068070,6926,1139702,6770,9258714,14196,3149231,8991,1127600,4635,446493,5025,14.8,0.127932811656534,870505,9630,21.3,0.22213725694229,4083160,15176,-81.9322487419347,28.6538478054924
11,01705317,13,GA,Georgia,149482048342,4422936154,10024689,2138,1607714,15482,196817,3866,198996,4274,168781,3755,835446,8873,150601,2996,41507,1545,15566,818,8416975,15344,578446,4369,640041,4600,681900,5633,4828146,9568,1248685,4545,332373,2415,107384,1802,16,0.154400825711108,564594,6878,22.9,0.25991780003556,2464981,10922,-83.4512728588705,32.6731573337381
12,01779782,15,HI,Hawaii,16633990195,11777809026,1383626,747,137516,3739,14672,1190,12343,869,10544,813,71492,2196,18780,1000,5836,530,3849,463,1246110,3835,90447,1475,88274,1361,84000,1357,680810,2558,208904,1721,61313,1100,32362,1004,9.9,0.27017870653666,37559,1683,12.5,0.546840659982049,300280,2950,-155.521205886131,19.6020249913044
13,01779783,16,ID,Idaho,214049787659,2391722557,1656621,776,228882,5592,26730,1448,25362,1537,21268,1383,123673,3139,21751,1319,7211,669,2887,384,1427739,5634,108854,1743,122960,2241,127760,2043,749327,3399,231712,2013,63937,1101,23189,936,13.8,0.337492529567726,73360,2524,16.9,0.558024320673291,432934,4313,-114.683878125244,44.467482733905
14,01779784,17,IL,Illinois,143780567633,6214824948,12523283,2053,1635603,16047,181452,3880,178707,3950,160886,3476,877212,8316,162682,3224,50708,1257,23956,1149,10887680,16356,735944,4251,787910,4871,840439,4525,6158004,9835,1674350,4746,492327,2790,198706,2570,13.1,0.128119437310523,521045,6538,18.1,0.217326963248951,2885338,10248,-89.1992243931464,40.1053645021465
15,00448508,18,IN,Indiana,92789302676,1538002829,6435742,1620,908359,11907,109392,2862,102892,2837,92029,2695,493151,6231,77859,1660,22747,1017,10289,558,5527383,12215,381790,3515,412740,4103,441292,3313,3034165,7222,900108,3448,257792,1865,99496,1576,14.1,0.184979515779041,304313,4848,19.8,0.297668186971158,1540135,7979,-86.2727907508566,39.9332337014215
16,01779785,19,IA,Iowa,144661267977,1084180812,3030572,857,353634,6999,37701,1679,34803,1399,28992,1419,201761,4081,31434,1029,11473,588,7470,428,2676938,6985,196329,1986,207151,2286,210472,2118,1424333,4648,443253,2462,138883,1211,56517,1127,11.7,0.230922926170756,101496,2606,14.2,0.353038619386657,715448,4522,-93.5022097471626,42.0905515649658
17,00481813,20,KS,Kansas,211755344060,1344141205,2825033,658,350280,6769,40837,1802,37644,1766,31266,1419,193379,3568,30872,1169,10804,621,5478,405,2474753,6695,190533,2177,197640,2070,206430,2395,1332331,4017,386334,2033,114750,1132,46735,1024,12.4,0.239590415545292,109747,2895,15.6,0.397005321885473,704350,4810,-98.380978436543,38.500201327931
18,01779786,21,KY,Kentucky,102279490672,2375337755,4302315,1358,772080,11688,85969,2414,83406,2903,71950,2245,420400,6284,78001,1855,22748,1058,9606,686,3530235,11768,234361,2778,250079,3380,263208,2906,1947351,6662,604516,2631,172358,1816,58362,1468,17.9,0.271608635033138,241325,4393,24.4,0.410817629764396,988973,6847,-85.2821599133082,37.5343728740713
19,01629543,22,LA,Louisiana,111897594374,23753621895,4531598,1272,878394,12965,110265,2764,102603,3333,86866,2626,452882,7115,90813,2504,24643,1172,10322,842,3653204,13170,253591,2816,263720,3813,275206,3132,2046920,7664,589288,3389,166975,2061,57504,1410,19.4,0.286050424195136,299734,5064,27.4,0.42235943101143,1092251,7611,-92.7826889226491,31.3393935291076
20,01779787,23,ME,Maine,79887426037,11746549764,1296990,605,161743,3869,14775,1004,14214,1021,11554,725,89266,2269,21327,843,7320,630,3287,329,1135247,3926,61224,1117,69091,1240,77115,1201,607603,2632,230470,1655,63872,1009,25872,1013,12.5,0.298249354235732,40543,1605,16.3,0.623988238474723,247973,2608,-69.2227764588879,45.4025915694396
21,01714934,24,MD,Maryland,25151100280,6979966958,5862050,1430,553496,9059,57864,2107,55321,2271,51028,1724,296070,5116,62345,1747,21018,1111,9850,668,5308554,9512,373876,2413,388645,3090,397920,2910,3021105,5644,813087,2974,225021,2003,88900,1685,9.4,0.15451921643225,164213,3545,12.4,0.261591611139383,1324654,6034,-76.7715506628638,39.0398449722806
22,00606926,25,MA,Massachusetts,20205125364,7129925486,6593960,1262,710305,10546,64973,2310,64003,2445,59834,2235,389189,6173,86095,2269,30755,1256,15456,919,5883655,10630,362000,3027,384447,3508,423817,3742,3373413,7666,948994,3325,270215,2166,120769,1906,10.8,0.159920954540808,188810,4038,13.9,0.287864529370948,1359074,7196,-71.7182362783715,42.3595787789504
23,01779789,26,MI,Michigan,146600952990,103885855702,9731374,1560,1457008,12982,159410,3005,151628,3129,137874,2723,807664,7123,142218,2348,39721,1038,18493,803,8274366,13263,513600,3504,563777,3949,627360,3438,4524822,7694,1454597,3385,420332,2558,169878,2226,15,0.133381973592693,448912,5122,20.8,0.224468707283214,2153649,8120,-84.6218792735369,43.5099917497743
24,00662849,27,MN,Minnesota,206228939448,18945217189,5403634,1133,547442,8083,58229,1828,58288,2110,47420,1600,299872,4197,53462,1388,19402,846,10769,534,4856192,8340,357854,2399,371685,2710,376348,2342,2691905,5084,754860,2572,215323,1572,88217,1296,10.1,0.149569437000681,163937,3218,12.9,0.247449806468146,1269824,5379,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,2890347,856,599795,9117,69008,2017,72041,2232,65714,2116,309123,5571,58938,2035,17920,951,7051,572,2290552,9347,154307,2393,170763,2355,177383,2686,1256051,5740,382582,2396,113159,1781,36307,1093,20.8,0.315369377344014,206763,3678,29.2,0.463521059828313,709216,5658,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,5907190,1562,837930,10585,96033,2696,90782,2455,76679,2407,452946,5743,83995,2058,25372,1140,12123,708,5069260,11000,339949,2687,364513,3665,386381,3312,2773199,6734,852027,3533,258322,2153,94869,1807,14.2,0.179149151757178,263494,4369,19.5,0.305944383652766,1354337,7121,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,1016407,675,139063,3191,13725,798,12137,827,10571,721,79936,2288,16209,790,4262,376,2223,288,877344,3210,59139,997,62841,1223,63779,1097,459289,2443,168391,1478,47162,788,16743,688,13.7,0.313817527166866,36433,1357,16.4,0.585549503505569,222192,2352,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,1850245,784,213790,4904,26307,1358,23299,1116,18889,1005,116861,2626,16565,772,6991,418,4878,402,1636455,4908,129368,1554,133089,1464,132647,1602,881266,3283,255165,1675,74995,872,29925,788,11.6,0.265000755688479,68495,2025,14.8,0.423551566195656,463599,3350,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,2881404,891,393431,7101,45639,1769,43254,1766,38085,1694,209220,3985,42424,1441,10724,764,4085,440,2487973,7177,168692,2275,182819,2402,185213,2509,1401800,4326,402055,2534,113226,1378,34168,1072,13.7,0.246406188187741,126978,3020,19.1,0.430284508855664,663702,5134,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,1300664,477,102352,3490,9164,907,8731,835,8294,798,58696,2085,11641,781,3924,377,1902,304,1198312,3517,67659,1191,78369,1309,85672,1463,669514,2438,217550,1618,56428,901,23120,929,7.9,0.268308966588322,26189,1469,10.2,0.559419108347454,257889,2726,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,8707826,1216,904132,13835,101312,3089,96834,2805,90529,3075,460413,7609,100481,2276,36411,1284,18152,852,7803694,13721,517886,3749,555064,4138,588139,3864,4413021,8786,1209819,4050,359347,2445,160418,2069,10.4,0.158873453400251,288675,5183,14.8,0.257791894436109,1949764,8542,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,2050855,691,410389,7655,48193,1925,47072,1735,41527,1626,212718,4281,43883,1558,12425,734,4571,507,1640466,7721,103820,1925,120346,2139,126005,1952,883098,4771,289156,2213,86892,1222,31149,1000,20,0.37319805986905,136792,3059,28.1,0.568518170677408,486963,4632,-106.106409224733,34.4614491432654
