Object ID,County GNIS Code,fips,Area of Land (Square Meters),Area of Water (Square Meters),county,state,Total Workers 16 Years and Over,Total Workers 16 Years and Over - Margin of Error,"All Workers who commuted by car, truck, or van","All Workers who commuted by car, truck, or van - Margin of Error",Workers who drove alone,Workers who drove alone - Margin of Error,Workers who carpooled,Workers who carpooled - Margin of Error,All Workers who commuted by public transportation (excluding taxicab),All Workers who commuted by public transportation (excluding taxicab) - Margin of Error,Workers who commuted by bus or trolley bus,Workers who commuted by bus or trolley bus - Margin of Error,Workers who commuted by streetcar or trolley car (carro público in Puerto Rico),Workers who commuted by streetcar or trolley car (carro público in Puerto Rico) - Margin of Error,Workers who commuted by subway or elevated,Workers who commuted by subway or elevated - Margin of Error,Workers who commuted by railroad,Workers who commuted by railroad - Margin of Error,Workers who commuted by ferryboat,Workers who commuted by ferryboat - Margin of Error,Workers who commuted by taxicab,Workers who commuted by taxicab - Margin of Error,Workers who commuted by motorcycle,Workers who commuted by motorcycle - Margin of Error,Workers who commuted by bicycle,Workers who commuted by bicycle - Margin of Error,Workers who commuted by walking,Workers who commuted by walking - Margin of Error,Workers who commuted by other means,Workers who commuted by other means - Margin of Error,Workers who worked at home,Workers who worked at home - Margin of Error,Percent of workers who commuted by driving alone,Percent of workers who commuted by driving alone - Margin of Error,Percent of workers who commuted by carpooling,Percent of workers who commuted by carpooling - Margin of Error,Percent of workers who commuted by public transportation,Percent of workers who commuted by public transportation - Margin of Error,Percent of workers who commuted by bus or trolley bus,Percent of workers who commuted by bus or trolley bus - Margin of Error,Percent of workers who commuted by streetcar or trolley car,Percent of workers who commuted by streetcar or trolley car - Margin of Error,Percent of workers who commuted by subway or elevated,Percent of workers who commuted by subway or elevated - Margin of Error,Percent of workers who commuted by railroad,Percent of workers who commuted by railroad - Margin of Error,Percent of workers who commuted by ferryboat,Percent of workers who commuted by ferryboat - Margin of Error,Percent of workers who commuted by taxicab,Percent of workers who commuted by taxicab - Margin of Error,Percent of workers who commuted by motorcycle,Percent of workers who commuted by motorcycle - Margin of Error,Percent of workers who commuted by bicycle,Percent of workers who commuted by bicycle - Margin of Error,Percent of workers who commuted by walking,Percent of workers who commuted by walking - Margin of Error,Percent of workers who commuted by other means,Percent of workers who commuted by other means - Margin of Error,Percent of workers who worked at home,Percent of workers who worked at home - Margin of Error,x,y
1,00161526,01001,1539602123,25706961,Autauga County,Alabama,24428,746,23244,724,21136,700,2108,351,26,22,26,22,0,28,0,28,0,28,0,28,0,28,42,42,14,22,153,110,274,203,675,210,86.5,1.10886880579196,8.6,1.41250225780164,0.1,0.0900019117074662,0.1,0.0900019117074662,0,0.114622564270509,0,0.114622564270509,0,0.114622564270509,0,0.114622564270509,0,0.114622564270509,0.2,0.171853653766245,0.1,0.0900435780136174,0.6,0.449896515687416,1.1,0.830307316333783,2.8,0.855517568686363,-86.6427482632969,32.5350741448193
2,00161527,01003,4117546676,1133055836,Baldwin County,Alabama,91420,1623,83842,1822,77051,1879,6791,900,82,72,82,72,0,28,0,28,0,28,0,28,0,28,130,87,53,44,636,275,1070,352,5607,742,84.3,1.40910965290391,7.4,0.975594305433432,0.1,0.0787412836115513,0.1,0.0787412836115513,0,0.0306278713629403,0,0.0306278713629403,0,0.0306278713629403,0,0.0306278713629403,0,0.0306278713629403,0.1,0.0951316807999356,0.1,0.0481185060757065,0.7,0.300555793169383,1.2,0.384475017079754,6.1,0.804301769573194,-87.7226518349297,30.7287733957847
3,00161528,01005,2292144655,50538698,Barbour County,Alabama,8538,415,8045,371,7118,382,927,215,22,34,22,34,0,22,0,22,0,22,0,22,0,22,80,66,0,22,182,87,98,56,111,50,83.4,1.89661982913647,10.9,2.46223404387287,0.3,0.398022721138003,0.3,0.398022721138003,0,0.257671585851487,0,0.257671585851487,0,0.257671585851487,0,0.257671585851487,0,0.257671585851487,0.9,0.771671958106866,0,0.257671585851487,2.1,1.01369260888566,1.1,0.653514197794181,1.3,0.582197891406642,-85.3930912283188,31.8698924062705
4,00161529,01007,1612167481,9602089,Bibb County,Alabama,7946,500,7589,522,6747,530,842,335,37,37,37,37,0,22,0,22,0,22,0,22,0,22,10,16,0,22,44,54,58,53,208,123,84.9,3.99271349531211,10.6,4.16289550061034,0.5,0.464720314217915,0.5,0.464720314217915,0,0.276868864837654,0,0.276868864837654,0,0.276868864837654,0,0.276868864837654,0,0.276868864837654,0.1,0.201203394184988,0,0.276868864837654,0.6,0.678693369904523,0.7,0.665418976251313,2.6,1.53916003688214,-87.1264328940503,32.9988269525526
5,00161530,01009,1670103911,15015423,Blount County,Alabama,21148,692,20426,648,18225,699,2201,330,31,46,0,28,31,46,0,28,0,28,0,28,0,28,24,33,0,28,40,22,150,99,477,154,86.2,1.72423093255673,10.4,1.5228157542155,0.1,0.217461766272482,0,0.132400226971818,0.1,0.217461766272482,0,0.132400226971818,0,0.132400226971818,0,0.132400226971818,0,0.132400226971818,0.1,0.155998932576563,0,0.132400226971818,0.2,0.10384447901382,0.7,0.467553683871665,2.3,0.724451432411074,-86.5672915338406,33.981101552051
6,00161531,01011,1613059160,6054988,Bullock County,Alabama,3940,482,3602,442,3115,408,487,234,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,230,174,0,19,108,81,79.1,3.69957341372595,12.4,5.74336726732248,0,0.482233502538071,0,0.482233502538071,0,0.482233502538071,0,0.482233502538071,0,0.482233502538071,0,0.482233502538071,0,0.482233502538071,0,0.482233502538071,0,0.482233502538071,5.8,4.35812049627937,0,0.482233502538071,2.7,2.02830441547471,-85.715716910884,32.1006956701416
7,00161532,01013,2012002530,2701198,Butler County,Alabama,7769,337,7483,350,6513,374,970,216,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,72,43,92,45,122,57,83.8,3.15446981257555,12.5,2.72702025654446,0,0.283176728021624,0,0.283176728021624,0,0.283176728021624,0,0.283176728021624,0,0.283176728021624,0,0.283176728021624,0,0.283176728021624,0,0.283176728021624,0,0.283176728021624,0.9,0.552019929601106,1.2,0.576942923890254,1.6,0.730516188620377,-86.6802880828758,31.7526881510561
8,00161533,01015,1569189622,16627597,Calhoun County,Alabama,47147,1150,44491,1192,39985,1271,4506,469,152,74,136,68,0,28,0,28,16,26,0,28,0,28,84,53,0,28,588,167,393,165,1439,337,84.8,1.72862853611485,9.6,0.967059617067225,0.3,0.156758783393716,0.3,0.144058025498444,0,0.0593887203851783,0,0.0593887203851783,0,0.055140456026042,0,0.0593887203851783,0,0.0593887203851783,0.2,0.112330330841126,0,0.0593887203851783,1.2,0.352902582676349,0.8,0.349378130674129,3.1,0.710898104058558,-85.8259893403797,33.7716186090011
9,00161534,01017,1545085607,16971701,Chambers County,Alabama,14396,519,13917,490,12273,539,1644,346,27,28,27,28,0,25,0,25,0,25,0,25,0,25,0,25,0,25,91,70,103,78,258,119,85.3,2.13817616998121,11.4,2.36792088031698,0.2,0.194380906275157,0.2,0.194380906275157,0,0.173659349819394,0,0.173659349819394,0,0.173659349819394,0,0.173659349819394,0,0.173659349819394,0,0.173659349819394,0,0.173659349819394,0.6,0.485711858014859,0.7,0.541202836331011,1.8,0.824089576947388,-85.3920612254039,32.9145755494222
10,00161535,01019,1433623321,120308339,Cherokee County,Alabama,9671,442,9333,465,8038,533,1295,295,22,27,22,27,0,22,0,22,0,22,0,22,0,22,0,22,0,22,29,33,118,125,169,99,83.1,3.99312559204789,13.4,2.9883333031599,0.2,0.278991536093791,0.2,0.278991536093791,0,0.2274842312067,0,0.2274842312067,0,0.2274842312067,0,0.2274842312067,0,0.2274842312067,0,0.2274842312067,0,0.2274842312067,0.3,0.340951014170224,1.2,1.29132051173009,1.7,1.02055870694695,-85.6037932332674,34.1762700714534
