Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Households,Total Households - Margin of Error,Households with no vehicle available,Households with no vehicle available - Margin of Error,Households with 1 vehicle available,Households with 1 vehicle available - Margin of Error,Households with 2 vehicles available,Households with 2 vehicles available - Margin of Error,Households with 3 vehicles available,Households with 3 vehicles available - Margin of Error,Households with 4 or more vehicles available,Households with 4 or more vehicles available - Margin of Error,All 1-Person Households,All 1-Person Households - Margin of Error,1-Person Households that have no vehicle available,1-Person Households that have no vehicle available - Margin of Error,1-Person Households that have 1 vehicle available,1-Person Households that have 1 vehicle available - Margin of Error,1-Person Households that have 2 vehicles available,1-Person Households that have 2 vehicles available - Margin of Error,1-Person Households that have 3 vehicles available,1-Person Households that have 3 vehicles available - Margin of Error,1-Person Households that have 4 or more vehicles available,1-Person Households that have 4 or more vehicles available - Margin of Error,All 2-Person Households,All 2-Person Households - Margin of Error,2-Person Households that have no vehicle available,2-Person Households that have no vehicle available - Margin of Error,2-Person Households that have 1 vehicle available,2-Person Households that have 1 vehicle available - Margin of Error,2-Person Households that have 2 vehicles available,2-Person Households that have 2 vehicles available - Margin of Error,2-Person Households that have 3 vehicles available,2-Person Households that have 3 vehicles available - Margin of Error,2-Person Households that have 4 or more vehicles available,2-Person Households that have 4 or more vehicles available - Margin of Error,All 3-Person Households,All 3-Person Households - Margin of Error,3-Person Households that have no vehicle available,3-Person Households that have no vehicle available - Margin of Error,3-Person Households that have 1 vehicle available,3-Person Households that have 1 vehicle available - Margin of Error,3-Person Households that have 2 vehicles available,3-Person Households that have 2 vehicles available - Margin of Error,3-Person Households that have 3 vehicles available,3-Person Households that have 3 vehicles available - Margin of Error,3-Person Households that have 4 or more vehicles available,3-Person Households that have 4 or more vehicles available - Margin of Error,All 4-Or-More-Person Households,All 4-Or-More-Person Households - Margin of Error,4-Or-More-Person Households that have no vehicle available,4-Or-More-Person Households that have no vehicle available - Margin of Error,4-Or-More-Person Households that have 1 vehicle available,4-Or-More-Person Households that have 1 vehicle available - Margin of Error,4-Or-More-Person Households that have 2 vehicles available,4-Or-More-Person Households that have 2 vehicles available - Margin of Error,4-Or-More-Person Households that have 3 vehicles available,4-Or-More-Person Households that have 3 vehicles available - Margin of Error,4-Or-More-Person Households that have 4 or more vehicles available,4-Or-More-Person Households that have 4 or more vehicles available - Margin of Error,Percent of households with no vehicle available,Percent of households with no vehicle available - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,1860269,6522,115360,2200,602858,4848,687059,5338,305506,3870,149486,2726,548612,4291,73941,1912,355858,3801,92997,2128,18975,832,6841,623,654752,4322,23539,1009,138515,2889,335076,3240,117675,2018,39947,1270,295731,3550,10024,700,57623,1664,111994,2640,81618,1741,34472,1193,361174,3667,7856,639,50862,1562,146992,2579,87238,2335,68226,1799,6.2,0.11624684477328,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,253462,1351,23959,728,75768,1493,96421,1728,38616,1155,18698,857,65197,1659,11056,548,38454,1298,12001,945,2444,312,1242,229,84335,1284,4977,332,19293,819,42712,1127,12794,565,4559,387,41000,1174,2431,255,8462,608,16174,739,9703,664,4230,452,62930,1292,5495,254,9559,601,25534,869,13675,703,8667,678,9.5,0.282768765829221,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,2524300,6840,160011,2605,912818,5372,958686,5589,345049,3943,147736,2891,689602,5275,97082,2204,482915,4544,86887,2288,16504,970,6214,559,895855,5449,33035,1114,261949,3419,470046,3880,100375,2056,30450,1117,357253,3711,12908,725,76419,2166,149372,2954,92624,2196,25930,995,581590,4132,16986,941,91535,2012,252381,3197,135546,2655,85142,2123,6.3,0.101757495310302,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,1152175,4053,73619,1795,382632,3708,444206,4035,178067,2504,73651,1922,327441,3858,46742,1433,215728,3156,53903,1715,8209,647,2859,411,411445,3915,14319,872,90837,1870,220337,2839,67038,1606,18914,847,179694,2511,6405,627,39532,1535,70287,1843,48072,1540,15398,844,233595,2762,6153,578,36535,1464,99679,2174,54748,1499,36480,1211,6.4,0.154162405695979,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,12965435,19785,939034,6018,3993143,12465,4838980,15184,2070226,11851,1124052,6474,3084533,10227,544303,4772,2059296,9475,383518,3736,71123,1841,26293,999,3934525,10880,209039,2728,1002283,6140,2081155,8165,496199,4435,145849,2100,2161796,13395,82379,1904,437457,5388,880698,7803,579832,5944,181430,2903,3784581,10050,103313,2163,494107,5483,1493609,8640,923072,6746,770480,5215,7.2,0.0450807171032326,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,2113387,4542,108846,1795,630357,3852,846411,4480,354162,3382,173611,2439,578532,4607,73286,1671,391704,4052,88133,1664,18214,1045,7195,532,751671,4059,20741,1080,138315,2368,424472,2962,124718,1961,43425,1253,318386,3777,7432,640,53801,1517,129243,2729,93176,1953,34734,1317,464798,3395,7387,577,46537,1517,204563,2573,118054,2387,88257,1949,5.2,0.0842104099347219,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,1367374,3671,121241,2024,446934,3896,513455,4543,198769,3211,86975,1868,390350,3315,75225,1922,264725,3164,40886,1430,7023,619,2491,358,460734,3528,23219,1187,102817,1893,255596,2788,62105,1737,16997,852,221921,2707,10892,800,42339,1610,86335,1771,62416,1738,19939,887,294369,2787,11905,844,37053,1283,130638,2131,67225,1813,47548,1313,8.9,0.146094309395125,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,357765,1676,21698,1018,119534,1856,144052,2060,50798,1299,21683,939,97487,2134,13386,732,68475,1699,12745,772,2035,300,846,196,129550,1773,4401,486,29287,1102,75435,1414,15839,810,4588,479,56220,1375,1884,261,11679,854,22542,1051,15308,690,4807,451,74508,1347,2027,276,10093,722,33330,1044,17616,842,11442,685,6.1,0.283122313751905,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,281322,1459,99637,1816,125351,2094,45818,1239,7972,506,2544,305,124201,1791,60104,1507,59384,1388,3944,378,595,173,174,66,86232,1665,23990,1005,39000,1224,21015,869,1859,253,368,118,33686,1284,7969,657,14352,772,8685,607,2262,248,418,119,37203,1025,7574,601,12615,770,12174,649,3256,325,1584,261,35.4,0.618838738429872,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,7621760,23468,493915,4284,3063582,10436,2921330,15852,851072,7814,291861,4078,2188759,11767,307619,4027,1628231,10303,214036,3415,29376,1440,9497,801,2823965,11670,104852,2574,928690,6688,1524371,8370,218565,4011,47487,1771,1147208,11196,38875,1568,266399,4212,512849,6922,277975,4263,51110,1555,1461828,10231,42569,1346,240262,3927,670074,7272,325156,4958,183767,3455,6.5,0.0525465719227431,-81.9322487419347,28.6538478054924
11,01705317,13,GA,Georgia,149482048342,4422936154,3709488,9402,245063,3661,1216488,6364,1417835,8228,568843,6030,261259,4283,997979,6784,139477,3141,667768,5872,152307,3157,27644,1310,10783,712,1226462,6201,51242,1635,277457,3463,651685,4917,186951,2985,59127,1987,620058,6655,25431,1328,135082,3072,247213,4442,156292,3332,56040,1829,864989,6484,28913,1081,136181,3041,366630,4535,197956,3711,135309,2839,6.6,0.0972620489178832,-83.4512728588705,32.6731573337381
12,01779782,15,HI,Hawaii,16633990195,11777809026,456782,2081,37579,1186,151804,1989,164729,2209,63184,1372,39486,1135,108906,1964,23540,899,70228,1632,12629,817,1783,307,726,189,145508,1684,8479,604,47822,1289,71464,1273,14552,687,3191,381,75763,1682,2526,321,16424,855,33013,1245,18424,808,5376,494,126605,1756,3034,383,17330,861,47623,1277,28425,923,30193,1019,8.2,0.256923054179332,-155.521205886131,19.6020249913044
13,01779783,16,ID,Idaho,214049787659,2391722557,618331,2254,24389,1120,175861,2567,238714,2862,115085,2096,64282,1835,163549,2381,16358,797,105544,2155,31551,1374,6717,656,3379,425,223749,2770,4881,655,41274,1456,115292,2122,44948,1183,17354,855,85945,1913,1330,282,15101,913,32186,1398,24222,1160,13106,837,145088,1988,1820,300,13942,911,59685,1474,39198,1291,30443,1170,3.9,0.180561187592476,-114.683878125244,44.467482733905
14,01779784,17,IL,Illinois,143780567633,6214824948,4830038,9750,522837,3778,1672908,6721,1767754,7832,612583,4723,253956,2909,1417008,6673,332474,3126,913545,5634,141605,2050,22000,879,7384,532,1571500,6394,108117,2320,425875,3969,831864,4955,165047,2461,40597,1106,733423,6201,40663,1424,166992,3116,295001,3763,183013,2876,47754,1315,1108107,5115,41583,1273,166496,3098,499284,4509,242523,2742,158221,2442,10.8,0.0751047600139695,-89.1992243931464,40.1053645021465
